care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh
any_uf,1,NE,income_pc,hypertension,1794,ok,0.08166881838120925,0.0005351641087089521,0.035523445051414845,0.12746668274280423,0.10124248178974615,1.737165466474921e-05,188,2000,20260919,2000,ok,0.019652133455836406,0.14183941521357235,0.006557996238306773,0.0002716147845707994
any_uf,1,NE,income_pc,hemorrhage,1794,ok,0.06643459460665743,0.0048772899050485465,0.020217115662001857,0.11236874700414491,0.04923202157916493,0.03706343386904284,188,2000,20260919,2000,ok,0.007462565261800975,0.13656110866318372,0.031354006532454945,0.0926585846726071
any_uf,1,NE,income_pc,W,1794,ok,0.10954224945833313,3.3113343368782143e-06,0.06358496036283726,0.15503592099198524,0.10718423163422579,5.369580084882294e-06,188,2000,20260919,2000,ok,0.05636027003233892,0.1712153557432006,9.934003010634643e-05,0.0001610874025464688
any_uf,1,NE,illiteracy_10plus,hypertension,1794,ok,0.04095398144219658,0.08289138526382556,-0.0053357694921009925,0.08706859511036494,0.05202429992159184,0.02756102454255863,188,2000,20260919,2000,ok,-0.02376218436859209,0.1067435799357121,0.1865056168436075,0.07870120253092605
any_uf,1,NE,illiteracy_10plus,hemorrhage,1794,ok,-0.02946622043734452,0.2122283226094084,-0.07564270539949058,0.016836376955717835,-0.011346184027681488,0.6310458296676649,188,2000,20260919,2000,ok,-0.1127143835029366,0.030924504887528962,0.3350973514885396,0.7281298034626902
any_uf,1,NE,illiteracy_10plus,W,1794,ok,-0.02835035642985863,0.23006101629859915,-0.07453220474209822,0.017952836346793226,-0.0146528119265566,0.5351064336187986,188,2000,20260919,2000,ok,-0.09479255173389718,0.03333306025426473,0.35094053333684616,0.6597202606259162
any_uf,1,NE,sewer_septic,hypertension,1794,ok,0.036774323946609025,0.1194607659809194,-0.009521518610048185,0.08291285222617413,0.06078121648295482,0.010023610644848852,188,2000,20260919,2000,ok,-0.030966173989242358,0.10391049991496468,0.2402692830086915,0.03922282426245203
any_uf,1,NE,sewer_septic,hemorrhage,1794,ok,0.035827213437956,0.12928845917449505,-0.010469784063090331,0.08197093770860905,-0.03830958540055473,0.10478378321774139,188,2000,20260919,2000,ok,-0.02923562277385191,0.10288995237150936,0.2475736452277565,0.20956756643548277
any_uf,1,NE,sewer_septic,W,1794,ok,0.06271186324282578,0.007884762461259045,0.016480055154208275,0.1086760924025185,0.05702373767869404,0.015711079178831446,188,2000,20260919,2000,ok,-0.005120891683019963,0.13530609738971783,0.03734887481649021,0.0565598850437932
any_uf,1,AL,income_pc,hypertension,102,ok,0.24305517914163122,0.01383515981258793,0.05099050827208353,0.41778228814631296,0.2257663230629174,0.02251483192795672,13,2000,20260919,2000,ok,-0.19472204453891948,0.4625211350041787,0.059293542053948274,0.07236910262557518
any_uf,1,AL,income_pc,hemorrhage,102,ok,-0.06357130268912674,0.525579491999982,-0.25489492784132867,0.1325422166110636,0.009217736556211454,0.9267384259749009,13,2000,20260919,2000,ok,-0.238663685893145,0.14723891005246065,0.6392183010810591,0.9507293057556963
any_uf,1,AL,income_pc,W,102,ok,0.12657920017782245,0.20489161917120682,-0.06960923073203332,0.31334075169040515,0.130612775726459,0.19071060275361945,13,2000,20260919,2000,ok,-0.2067340761855124,0.3592107704575025,0.3301523019182006,0.3502847805678725
any_uf,1,AL,illiteracy_10plus,hypertension,102,ok,-0.27711480945980166,0.004807264991202595,-0.447474468667186,-0.08734721782757232,-0.24730182652691018,0.012214121584850926,13,2000,20260919,2000,ok,-0.4682261913442474,0.03226311422225213,0.031354006532454945,0.045802955943190976
any_uf,1,AL,illiteracy_10plus,hemorrhage,102,ok,0.010034251490298532,0.9202693035055124,-0.18480126844669578,0.20411084443179117,-0.09433898238021596,0.34560928886933745,13,2000,20260919,2000,ok,-0.22268834631741816,0.1747789873913738,0.9630725269243735,0.5237027737948192
any_uf,1,AL,illiteracy_10plus,W,102,ok,-0.1888127497006402,0.05736153385440794,-0.3697120636131613,0.005877982839231779,-0.22093789441311318,0.025646980957239426,13,2000,20260919,2000,ok,-0.43139618123665513,0.01792074609396359,0.14750108705419185,0.07694094287171828
any_uf,1,AL,sewer_septic,hypertension,102,ok,0.2705684019945147,0.005951742146223181,0.08031983541517007,0.44179651326483954,0.29320162170414643,0.002783235802152272,13,2000,20260919,2000,ok,-0.013248425406386407,0.4397170512419765,0.0315092231270639,0.014734777776100263
