care,territory,municipalities,with_admissions,at_least_1000,admissions_at_least_1000,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,hypertension_per_1000,hypertension_municipal_mean,hemorrhage_per_1000,hemorrhage_municipal_mean,W_per_1000,W_municipal_mean,outside_percent
any_uf,NE,1794,1794,842,3429464,3913500,2795,54007,74014,41456,140519,18.912482432605085,16.167522857077437,10.593075252331673,10.483828739469136,35.90622205187172,30.91661809105916,1.3800178868020954
any_uf,AL,102,102,63,240615,265805,104,6592,5574,2010,8886,20.970260153119767,17.718437595839582,7.561934500855891,8.137171986226562,33.430522375425596,30.70508049389566,2.480013543763285
any_uf,BA,417,417,231,906291,1023955,397,14975,15009,7866,32248,14.657870707208813,11.160910115755485,7.681978211933141,7.068933469009673,31.49357149484108,23.618873363253876,1.4624666123022985
any_uf,CE,184,184,128,562636,598075,162,1395,18393,2483,23669,30.753668018225138,26.598827075554276,4.151653220749906,4.106216283428861,39.575304100656275,34.593268186040184,0.2332483384190946
any_uf,MA,217,217,113,450061,504485,105,13704,4471,5040,11740,8.86250334499539,8.434813787882273,9.990386235467854,8.745270575969757,23.271256826268374,21.130597084934244,2.7164335906914974
any_uf,PB,223,223,54,193887,262515,69,7232,4681,3844,9543,17.83136201740853,13.48882014095776,14.642972782507666,22.12565409290508,36.3522084452317,37.8479763049794,2.754890196750662
any_uf,PE,185,185,135,601930,637464,1805,7773,9021,1703,16008,14.151387372463386,12.537305512499989,2.6715234115181405,2.4334847408991402,25.112006325063064,21.647178311886023,1.219362975791574
any_uf,PI,224,224,43,176343,244638,63,1523,7609,7891,16822,31.103099273211846,23.287761890529563,32.25582288933036,15.283188741798284,68.76282507214742,41.68359177513529,0.6225525061519469
any_uf,RN,167,167,36,161685,221669,55,372,7573,1536,10329,34.16355015811864,27.095719107425047,6.92925036879311,7.0974341318019825,46.59650199170836,38.045855911110266,0.16781778236920813
any_uf,SE,75,75,39,136016,154894,35,441,1683,9083,11274,10.865495112786808,9.996865506855016,58.64010226348341,31.787508404549552,72.78525959688561,45.297524537983286,0.2847108345061784
same_uf,NE,1794,1794,828,3380684,3859493,2764,0,72307,39765,136780,18.734844188083773,16.095627271938447,10.303166763095566,10.365285241847218,35.439888088927745,30.698314390942855,0.0
same_uf,AL,102,102,62,235001,259213,104,0,5540,1457,8222,21.37238487267228,18.638409669842336,5.620860064888721,5.498287837351522,31.719088163016515,28.360425123937063,0.0
same_uf,BA,417,417,226,891196,1008980,381,0,14387,7695,31345,14.258954587801542,10.752179398970599,7.626513905131915,7.333975765427543,31.06602707684989,23.437294948488866,0.0
same_uf,CE,184,184,127,560774,596680,162,0,18360,2470,23620,30.770262117047665,26.591815099949372,4.139572300060334,4.109056081735377,39.58570758195348,34.59471366198782,0.0
same_uf,MA,217,217,112,438182,490781,96,0,3592,4409,10125,7.318946739991972,7.129344066723593,8.98364036097567,8.121344555050484,20.63038300178695,19.28062347250717,0.0
same_uf,PB,223,223,51,190061,255283,66,0,4650,3820,9480,18.215078951594897,14.277595711373378,14.963785289267205,23.15676228714066,37.135257733574115,39.680743107073404,0.0
same_uf,PE,185,185,132,592344,629691,1802,0,8938,1442,15632,14.194263535607147,12.50447899446572,2.2900120852926276,1.5380302001289514,24.824874422534226,20.762903254808794,0.0
same_uf,PI,224,224,43,175949,243115,63,0,7593,7882,16793,31.232132941200668,23.556758323666134,32.42087078131748,15.378161949933972,69.07430639820662,42.0503050455672,0.0
same_uf,RN,167,167,36,161579,221297,55,0,7567,1536,10321,34.193866161764504,27.107362457886197,6.940898430615869,7.117883158160891,46.6386801447828,38.072689048940205,0.0
same_uf,SE,75,75,39,135598,154453,35,0,1680,9054,11242,10.877095297598622,9.999216489501107,58.619774300272574,31.679227220549382,72.78589603309744,45.19983783270882,0.0
