territory,diagnosis,outcome,cases,care,percent_of_outcome
PI,O080,W,6,any_uf,0.03566757817144216
PI,O065,W,5,any_uf,0.029722981809535132
PI,O066,W,5,any_uf,0.029722981809535132
PI,O083,W,4,any_uf,0.023778385447628107
PI,O11,W,4,any_uf,0.023778385447628107
PI,O411,W,4,any_uf,0.023778385447628107
PI,O046,W,3,any_uf,0.01783378908572108
PI,O050,W,3,any_uf,0.01783378908572108
PI,O045,W,1,any_uf,0.005944596361907027
PI,O694,W,1,any_uf,0.005944596361907027
PI,O720,W,1,any_uf,0.005944596361907027
PI,O061,hemorrhage,6142,any_uf,77.83550880750222
PI,O459,hemorrhage,609,any_uf,7.717653022430617
PI,O041,hemorrhage,473,any_uf,5.9941705740717275
PI,O031,hemorrhage,347,any_uf,4.397414776327461
PI,O450,hemorrhage,103,any_uf,1.3052845013306298
PI,O441,hemorrhage,61,any_uf,0.773032568749208
PI,O458,hemorrhage,56,any_uf,0.7096692434418959
PI,O721,hemorrhage,39,any_uf,0.4942339373970346
PI,O722,hemorrhage,15,any_uf,0.19008997592193638
PI,O081,hemorrhage,10,any_uf,0.12672665061462426
PI,O036,hemorrhage,9,any_uf,0.11405398555316183
PI,O056,hemorrhage,9,any_uf,0.11405398555316183
PI,O051,hemorrhage,8,any_uf,0.1013813204916994
PI,O066,hemorrhage,5,any_uf,0.06336332530731213
PI,O046,hemorrhage,3,any_uf,0.038017995184387275
PI,O694,hemorrhage,1,any_uf,0.012672665061462425
PI,O720,hemorrhage,1,any_uf,0.012672665061462425
PI,O141,hypertension,5046,any_uf,66.31620449467735
PI,O140,hypertension,1074,any_uf,14.114863976869497
PI,O149,hypertension,932,any_uf,12.248652911026417
PI,O150,hypertension,254,any_uf,3.3381521881981864
PI,O151,hypertension,132,any_uf,1.734787751347089
PI,O159,hypertension,117,any_uf,1.5376527796031016
PI,O152,hypertension,50,any_uf,0.6571165724799579
PI,O11,hypertension,4,any_uf,0.052569325798396634
RN,O141,W,3555,any_uf,34.417659018298
RN,O149,W,3032,any_uf,29.354245328686222
RN,O860,W,665,any_uf,6.438183754477684
RN,O694,W,633,any_uf,6.128376415916352
RN,O150,W,614,any_uf,5.944428308645561
RN,O459,W,372,any_uf,3.6015103107754864
RN,O85,W,351,any_uf,3.398199244844612
RN,O140,W,191,any_uf,1.8491625520379513
RN,O721,W,169,any_uf,1.6361700067770355
RN,O458,W,162,any_uf,1.5683996514667442
RN,O151,W,94,any_uf,0.9100590570239132
RN,O441,W,63,any_uf,0.6099331977926227
RN,O030,W,55,any_uf,0.5324813631522897
RN,O900,W,54,any_uf,0.5227998838222481
RN,O031,W,51,any_uf,0.49375544583212316
RN,O868,W,39,any_uf,0.3775776938716236
RN,O11,W,36,any_uf,0.3485332558814987
RN,O152,W,34,any_uf,0.32917029722141544
RN,O035,W,27,any_uf,0.26139994191112403
RN,O159,W,17,any_uf,0.16458514861070772
RN,O722,W,16,any_uf,0.1549036692806661
RN,O041,W,15,any_uf,0.14522218995062444
RN,O036,W,13,any_uf,0.1258592312905412
RN,O061,W,10,any_uf,0.0968147933004163
RN,O081,W,8,any_uf,0.07745183464033305
RN,O450,W,8,any_uf,0.07745183464033305
RN,O080,W,7,any_uf,0.06777035531029141
RN,O720,W,6,any_uf,0.05808887598024978
RN,O050,W,5,any_uf,0.04840739665020815
RN,O051,W,5,any_uf,0.04840739665020815
RN,O040,W,4,any_uf,0.038725917320166524
RN,O060,W,3,any_uf,0.02904443799012489
RN,O065,W,3,any_uf,0.02904443799012489
RN,O411,W,3,any_uf,0.02904443799012489
RN,O066,W,2,any_uf,0.019362958660083262
RN,O711,W,2,any_uf,0.019362958660083262
RN,O046,W,1,any_uf,0.009681479330041631
RN,O055,W,1,any_uf,0.009681479330041631
RN,O469,W,1,any_uf,0.009681479330041631
RN,O670,W,1,any_uf,0.009681479330041631
RN,O710,W,1,any_uf,0.009681479330041631
RN,O694,hemorrhage,633,any_uf,41.2109375
RN,O459,hemorrhage,372,any_uf,24.21875
RN,O721,hemorrhage,169,any_uf,11.002604166666666
RN,O458,hemorrhage,162,any_uf,10.546875
RN,O441,hemorrhage,63,any_uf,4.1015625
RN,O031,hemorrhage,51,any_uf,3.3203125
RN,O722,hemorrhage,16,any_uf,1.0416666666666667
RN,O041,hemorrhage,15,any_uf,0.9765625
RN,O036,hemorrhage,13,any_uf,0.8463541666666666
RN,O061,hemorrhage,10,any_uf,0.6510416666666666
RN,O081,hemorrhage,8,any_uf,0.5208333333333334
RN,O450,hemorrhage,8,any_uf,0.5208333333333334
RN,O720,hemorrhage,6,any_uf,0.390625
RN,O051,hemorrhage,5,any_uf,0.3255208333333333
RN,O066,hemorrhage,2,any_uf,0.13020833333333334
RN,O046,hemorrhage,1,any_uf,0.06510416666666667
RN,O469,hemorrhage,1,any_uf,0.06510416666666667
RN,O670,hemorrhage,1,any_uf,0.06510416666666667
RN,O141,hypertension,3555,any_uf,46.94308728377129
RN,O149,hypertension,3032,any_uf,40.036973458338835
RN,O150,hypertension,614,any_uf,8.107751221444605
RN,O140,hypertension,191,any_uf,2.5221180509705534
RN,O151,hypertension,94,any_uf,1.2412518156609005
RN,O11,hypertension,36,any_uf,0.47537303578502577
RN,O152,hypertension,34,any_uf,0.44896342268585765
RN,O159,hypertension,17,any_uf,0.22448171134292882
SE,O031,W,8668,any_uf,76.88486783750221
SE,O141,W,1029,any_uf,9.127195316657797
SE,O140,W,530,any_uf,4.701082135887884
SE,O459,W,233,any_uf,2.0667021465318434
SE,O030,W,138,any_uf,1.2240553485896755
SE,O85,W,132,any_uf,1.1708355508249069
SE,O860,W,112,any_uf,0.9934362249423452
SE,O441,W,70,any_uf,0.6208976405889658
SE,O150,W,51,any_uf,0.4523682810005322
SE,O721,W,37,any_uf,0.328188752882739
SE,O868,W,37,any_uf,0.328188752882739
SE,O151,W,34,any_uf,0.3015788540003548
SE,O900,W,32,any_uf,0.28383892141209865
SE,O149,W,24,any_uf,0.21287919105907396
SE,O711,W,24,any_uf,0.21287919105907396
SE,O722,W,20,any_uf,0.17739932588256166
SE,O450,W,18,any_uf,0.15965939329430548
SE,O036,W,14,any_uf,0.12417952811779315
SE,O050,W,11,any_uf,0.0975696292354089
SE,O458,W,10,any_uf,0.08869966294128083
SE,O060,W,9,any_uf,0.07982969664715274
SE,O152,W,6,any_uf,0.05321979776476849
SE,O159,W,6,any_uf,0.05321979776476849
SE,O670,W,5,any_uf,0.044349831470640415
SE,O081,W,4,any_uf,0.03547986517651233
SE,O035,W,3,any_uf,0.026609898882384245
SE,O080,W,3,any_uf,0.026609898882384245
SE,O11,W,3,any_uf,0.026609898882384245
SE,O710,W,3,any_uf,0.026609898882384245
SE,O411,W,2,any_uf,0.017739932588256166
SE,O720,W,2,any_uf,0.017739932588256166
SE,O051,W,1,any_uf,0.008869966294128083
SE,O061,W,1,any_uf,0.008869966294128083
SE,O065,W,1,any_uf,0.008869966294128083
SE,O082,W,1,any_uf,0.008869966294128083
SE,O031,hemorrhage,8668,any_uf,95.43102499174282
SE,O459,hemorrhage,233,any_uf,2.5652317516239127
SE,O441,hemorrhage,70,any_uf,0.7706704833204888
SE,O721,hemorrhage,37,any_uf,0.4073543983265441
SE,O722,hemorrhage,20,any_uf,0.2201915666629968
SE,O450,hemorrhage,18,any_uf,0.19817240999669714
SE,O036,hemorrhage,14,any_uf,0.15413409666409777
SE,O458,hemorrhage,10,any_uf,0.1100957833314984
SE,O670,hemorrhage,5,any_uf,0.0550478916657492
SE,O081,hemorrhage,4,any_uf,0.04403831333259936
SE,O720,hemorrhage,2,any_uf,0.02201915666629968
SE,O051,hemorrhage,1,any_uf,0.01100957833314984
SE,O061,hemorrhage,1,any_uf,0.01100957833314984
SE,O141,hypertension,1029,any_uf,61.140819964349376
SE,O140,hypertension,530,any_uf,31.491384432560903
SE,O150,hypertension,51,any_uf,3.0303030303030303
SE,O151,hypertension,34,any_uf,2.0202020202020203
SE,O149,hypertension,24,any_uf,1.4260249554367201
SE,O152,hypertension,6,any_uf,0.35650623885918004
SE,O159,hypertension,6,any_uf,0.35650623885918004
SE,O11,hypertension,3,any_uf,0.17825311942959002
