territory,diagnosis,outcome,cases,care,percent_of_outcome
BA,O694,W,18,any_uf,0.05581741503349045
BA,O468,W,16,any_uf,0.04961548002976929
BA,O046,W,13,any_uf,0.04031257752418755
BA,O670,W,13,any_uf,0.04031257752418755
BA,O083,W,6,any_uf,0.018605805011163483
BA,O460,W,5,any_uf,0.015504837509302902
BA,O075,W,1,any_uf,0.0031009675018605805
BA,O883,W,1,any_uf,0.0031009675018605805
BA,O031,hemorrhage,2720,any_uf,34.579201627256545
BA,O459,hemorrhage,2603,any_uf,33.091787439613526
BA,O441,hemorrhage,413,any_uf,5.250444952962115
BA,O458,hemorrhage,389,any_uf,4.945334350368675
BA,O061,hemorrhage,315,any_uf,4.004576659038902
BA,O450,hemorrhage,293,any_uf,3.7248919399949147
BA,O721,hemorrhage,247,any_uf,3.140096618357488
BA,O036,hemorrhage,178,any_uf,2.2629036359013477
BA,O722,hemorrhage,163,any_uf,2.0722095092804476
BA,O051,hemorrhage,157,any_uf,1.9959318586320876
BA,O720,hemorrhage,118,any_uf,1.5001271294177472
BA,O041,hemorrhage,83,any_uf,1.0551741673023138
BA,O066,hemorrhage,50,any_uf,0.6356470887363336
BA,O081,hemorrhage,34,any_uf,0.43224002034070685
BA,O469,hemorrhage,20,any_uf,0.25425883549453343
BA,O056,hemorrhage,18,any_uf,0.2288329519450801
BA,O694,hemorrhage,18,any_uf,0.2288329519450801
BA,O468,hemorrhage,16,any_uf,0.20340706839562675
BA,O046,hemorrhage,13,any_uf,0.16526824307144675
BA,O670,hemorrhage,13,any_uf,0.16526824307144675
BA,O460,hemorrhage,5,any_uf,0.06356470887363336
BA,O141,hypertension,6517,any_uf,43.42061429808781
BA,O140,hypertension,3525,any_uf,23.485908454927042
BA,O149,hypertension,2881,any_uf,19.195149576920514
BA,O150,hypertension,912,any_uf,6.0763541874875076
BA,O151,hypertension,539,any_uf,3.591178626157639
BA,O159,hypertension,492,any_uf,3.2780331800919447
BA,O152,hypertension,80,any_uf,0.5330135252182024
BA,O11,hypertension,63,any_uf,0.4197481511093344
CE,O141,W,13801,any_uf,58.30833579787908
CE,O149,W,2293,any_uf,9.687777261396764
CE,O140,W,1423,any_uf,6.012083315729435
CE,O459,W,1137,any_uf,4.803751742785923
CE,O860,W,1105,any_uf,4.66855380455448
CE,O85,W,907,any_uf,3.8320165617474333
CE,O441,W,505,any_uf,2.1335924627149434
CE,O150,W,459,any_uf,1.9392454265072459
CE,O868,W,326,any_uf,1.377328995732815
CE,O151,W,298,any_uf,1.2590307997803034
CE,O458,W,269,any_uf,1.136507668258059
CE,O060,W,182,any_uf,0.7689382736913262
CE,O031,W,140,any_uf,0.5914909797625586
CE,O030,W,119,any_uf,0.5027673327981749
CE,O721,W,119,any_uf,0.5027673327981749
CE,O450,W,100,any_uf,0.42249355697325613
CE,O061,W,84,any_uf,0.3548945878575352
CE,O152,W,56,any_uf,0.23659639190502346
CE,O900,W,55,any_uf,0.23237145633529088
CE,O159,W,47,any_uf,0.19857197177743038
CE,O722,W,41,any_uf,0.17322235835903502
CE,O035,W,27,any_uf,0.11407326038277917
CE,O036,W,21,any_uf,0.0887236469643838
CE,O469,W,20,any_uf,0.08449871139465123
CE,O11,W,16,any_uf,0.06759896911572098
CE,O041,W,12,any_uf,0.05069922683679074
CE,O050,W,12,any_uf,0.05069922683679074
CE,O711,W,12,any_uf,0.05069922683679074
CE,O411,W,11,any_uf,0.046474291267058175
CE,O710,W,10,any_uf,0.042249355697325616
CE,O720,W,9,any_uf,0.03802442012759306
CE,O080,W,8,any_uf,0.03379948455786049
CE,O066,W,7,any_uf,0.029574548988127933
CE,O040,W,5,any_uf,0.021124677848662808
CE,O065,W,5,any_uf,0.021124677848662808
CE,O694,W,5,any_uf,0.021124677848662808
CE,O051,W,4,any_uf,0.016899742278930246
CE,O055,W,4,any_uf,0.016899742278930246
CE,O046,W,3,any_uf,0.012674806709197685
CE,O056,W,2,any_uf,0.008449871139465123
CE,O081,W,2,any_uf,0.008449871139465123
CE,O753,W,2,any_uf,0.008449871139465123
CE,O045,W,1,any_uf,0.0042249355697325615
CE,O083,W,1,any_uf,0.0042249355697325615
CE,O460,W,1,any_uf,0.0042249355697325615
CE,O468,W,1,any_uf,0.0042249355697325615
CE,O670,W,1,any_uf,0.0042249355697325615
CE,O883,W,1,any_uf,0.0042249355697325615
CE,O459,hemorrhage,1137,any_uf,45.79138139347563
CE,O441,hemorrhage,505,any_uf,20.338300443012486
CE,O458,hemorrhage,269,any_uf,10.833668948852194
CE,O031,hemorrhage,140,any_uf,5.638340716874748
CE,O721,hemorrhage,119,any_uf,4.792589609343536
CE,O450,hemorrhage,100,any_uf,4.027386226339106
CE,O061,hemorrhage,84,any_uf,3.383004430124849
CE,O722,hemorrhage,41,any_uf,1.6512283527990335
CE,O036,hemorrhage,21,any_uf,0.8457511075312123
CE,O469,hemorrhage,20,any_uf,0.8054772452678212
CE,O041,hemorrhage,12,any_uf,0.4832863471606927
CE,O720,hemorrhage,9,any_uf,0.36246476037051956
CE,O066,hemorrhage,7,any_uf,0.2819170358437374
CE,O694,hemorrhage,5,any_uf,0.2013693113169553
CE,O051,hemorrhage,4,any_uf,0.16109544905356424
CE,O046,hemorrhage,3,any_uf,0.12082158679017317
CE,O056,hemorrhage,2,any_uf,0.08054772452678212
CE,O081,hemorrhage,2,any_uf,0.08054772452678212
CE,O460,hemorrhage,1,any_uf,0.04027386226339106
CE,O468,hemorrhage,1,any_uf,0.04027386226339106
CE,O670,hemorrhage,1,any_uf,0.04027386226339106
