territory,year,diagnosis,outcome,cases,percent_of_outcome
AL,2008,O030,W,3,0.15082956259426847
AL,2008,O031,W,164,8.24534942182001
AL,2008,O035,W,6,0.30165912518853694
AL,2008,O036,W,2,0.10055304172951232
AL,2008,O040,W,8,0.4022121669180493
AL,2008,O041,W,6,0.30165912518853694
AL,2008,O050,W,3,0.15082956259426847
AL,2008,O051,W,2,0.10055304172951232
AL,2008,O060,W,7,0.35193564605329314
AL,2008,O061,W,81,4.072398190045249
AL,2008,O080,W,2,0.10055304172951232
AL,2008,O11,W,2,0.10055304172951232
AL,2008,O140,W,72,3.6199095022624435
AL,2008,O141,W,566,28.456510809451984
AL,2008,O149,W,540,27.149321266968325
AL,2008,O150,W,62,3.117144293614882
AL,2008,O151,W,11,0.5530417295123178
AL,2008,O152,W,4,0.20110608345902464
AL,2008,O159,W,25,1.256913021618904
AL,2008,O411,W,4,0.20110608345902464
AL,2008,O441,W,51,2.5641025641025643
AL,2008,O450,W,28,1.4077425842131726
AL,2008,O458,W,9,0.45248868778280543
AL,2008,O459,W,96,4.826546003016591
AL,2008,O460,W,1,0.05027652086475616
AL,2008,O468,W,4,0.20110608345902464
AL,2008,O469,W,1,0.05027652086475616
AL,2008,O670,W,2,0.10055304172951232
AL,2008,O710,W,3,0.15082956259426847
AL,2008,O711,W,2,0.10055304172951232
AL,2008,O720,W,3,0.15082956259426847
AL,2008,O721,W,6,0.30165912518853694
AL,2008,O722,W,20,1.0055304172951232
AL,2008,O753,W,1,0.05027652086475616
AL,2008,O85,W,116,5.832076420311714
AL,2008,O860,W,64,3.2176973353443943
AL,2008,O868,W,11,0.5530417295123178
AL,2008,O900,W,1,0.05027652086475616
AL,2008,O031,hemorrhage,164,34.45378151260504
AL,2008,O036,hemorrhage,2,0.42016806722689076
AL,2008,O041,hemorrhage,6,1.2605042016806722
AL,2008,O051,hemorrhage,2,0.42016806722689076
AL,2008,O061,hemorrhage,81,17.016806722689076
AL,2008,O441,hemorrhage,51,10.714285714285714
AL,2008,O450,hemorrhage,28,5.882352941176471
AL,2008,O458,hemorrhage,9,1.8907563025210083
AL,2008,O459,hemorrhage,96,20.168067226890756
AL,2008,O460,hemorrhage,1,0.21008403361344538
AL,2008,O468,hemorrhage,4,0.8403361344537815
AL,2008,O469,hemorrhage,1,0.21008403361344538
AL,2008,O670,hemorrhage,2,0.42016806722689076
AL,2008,O720,hemorrhage,3,0.6302521008403361
AL,2008,O721,hemorrhage,6,1.2605042016806722
AL,2008,O722,hemorrhage,20,4.201680672268908
AL,2008,O11,hypertension,2,0.15600624024961
AL,2008,O140,hypertension,72,5.616224648985959
AL,2008,O141,hypertension,566,44.14976599063962
AL,2008,O149,hypertension,540,42.1216848673947
AL,2008,O150,hypertension,62,4.83619344773791
AL,2008,O151,hypertension,11,0.858034321372855
AL,2008,O152,hypertension,4,0.31201248049922
AL,2008,O159,hypertension,25,1.9500780031201248
AL,2009,O030,W,16,0.8743169398907104
AL,2009,O031,W,160,8.743169398907105
AL,2009,O035,W,1,0.0546448087431694
AL,2009,O040,W,7,0.3825136612021858
AL,2009,O041,W,3,0.16393442622950818
AL,2009,O050,W,3,0.16393442622950818
AL,2009,O051,W,3,0.16393442622950818
AL,2009,O060,W,3,0.16393442622950818
AL,2009,O061,W,64,3.4972677595628414
AL,2009,O080,W,1,0.0546448087431694
AL,2009,O081,W,1,0.0546448087431694
AL,2009,O140,W,99,5.409836065573771
AL,2009,O141,W,444,24.262295081967213
AL,2009,O149,W,470,25.683060109289617
AL,2009,O150,W,66,3.6065573770491803
AL,2009,O151,W,9,0.4918032786885246
AL,2009,O152,W,7,0.3825136612021858
AL,2009,O411,W,13,0.7103825136612022
AL,2009,O441,W,58,3.169398907103825
AL,2009,O450,W,38,2.0765027322404372
AL,2009,O458,W,7,0.3825136612021858
AL,2009,O459,W,72,3.9344262295081966
AL,2009,O460,W,1,0.0546448087431694
AL,2009,O468,W,10,0.546448087431694
AL,2009,O469,W,1,0.0546448087431694
AL,2009,O670,W,2,0.1092896174863388
AL,2009,O694,W,1,0.0546448087431694
AL,2009,O711,W,2,0.1092896174863388
AL,2009,O720,W,3,0.16393442622950818
AL,2009,O721,W,5,0.273224043715847
AL,2009,O722,W,53,2.8961748633879782
AL,2009,O85,W,125,6.830601092896175
AL,2009,O860,W,62,3.387978142076503
AL,2009,O868,W,8,0.4371584699453552
AL,2009,O900,W,12,0.6557377049180327
AL,2009,O031,hemorrhage,160,33.19502074688797
AL,2009,O041,hemorrhage,3,0.6224066390041494
AL,2009,O051,hemorrhage,3,0.6224066390041494
AL,2009,O061,hemorrhage,64,13.278008298755188
AL,2009,O081,hemorrhage,1,0.2074688796680498
AL,2009,O441,hemorrhage,58,12.033195020746888
AL,2009,O450,hemorrhage,38,7.8838174273858925
AL,2009,O458,hemorrhage,7,1.4522821576763485
AL,2009,O459,hemorrhage,72,14.937759336099585
AL,2009,O460,hemorrhage,1,0.2074688796680498
AL,2009,O468,hemorrhage,10,2.074688796680498
AL,2009,O469,hemorrhage,1,0.2074688796680498
AL,2009,O670,hemorrhage,2,0.4149377593360996
AL,2009,O694,hemorrhage,1,0.2074688796680498
AL,2009,O720,hemorrhage,3,0.6224066390041494
AL,2009,O721,hemorrhage,5,1.037344398340249
AL,2009,O722,hemorrhage,53,10.995850622406639
AL,2009,O140,hypertension,99,9.04109589041096
AL,2009,O141,hypertension,444,40.54794520547945
AL,2009,O149,hypertension,470,42.922374429223744
AL,2009,O150,hypertension,66,6.027397260273973
AL,2009,O151,hypertension,9,0.821917808219178
AL,2009,O152,hypertension,7,0.639269406392694
AL,2010,O030,W,17,0.9781357882623706
AL,2010,O031,W,146,8.400460299194476
AL,2010,O035,W,2,0.11507479861910241
AL,2010,O036,W,1,0.05753739930955121
AL,2010,O041,W,1,0.05753739930955121
AL,2010,O050,W,2,0.11507479861910241
AL,2010,O051,W,9,0.5178365937859609
AL,2010,O060,W,3,0.17261219792865362
AL,2010,O061,W,46,2.6467203682393556
AL,2010,O065,W,1,0.05753739930955121
AL,2010,O080,W,1,0.05753739930955121
AL,2010,O081,W,5,0.28768699654775604
AL,2010,O083,W,1,0.05753739930955121
AL,2010,O11,W,18,1.0356731875719218
AL,2010,O140,W,81,4.660529344073648
AL,2010,O141,W,300,17.26121979286536
AL,2010,O149,W,557,32.04833141542002
AL,2010,O150,W,47,2.704257767548907
AL,2010,O151,W,7,0.40276179516685845
AL,2010,O152,W,10,0.5753739930955121
AL,2010,O159,W,3,0.17261219792865362
AL,2010,O411,W,18,1.0356731875719218
AL,2010,O441,W,68,3.9125431530494823
AL,2010,O450,W,28,1.6110471806674338
AL,2010,O458,W,10,0.5753739930955121
AL,2010,O459,W,66,3.7974683544303796
AL,2010,O468,W,14,0.8055235903337169
AL,2010,O469,W,4,0.23014959723820483
AL,2010,O670,W,1,0.05753739930955121
AL,2010,O711,W,3,0.17261219792865362
AL,2010,O720,W,1,0.05753739930955121
AL,2010,O721,W,13,0.7479861910241657
AL,2010,O722,W,20,1.1507479861910241
AL,2010,O85,W,112,6.444188722669735
AL,2010,O860,W,93,5.350978135788262
AL,2010,O868,W,14,0.8055235903337169
AL,2010,O900,W,15,0.8630609896432682
AL,2010,O031,hemorrhage,146,33.71824480369515
AL,2010,O036,hemorrhage,1,0.23094688221709006
AL,2010,O041,hemorrhage,1,0.23094688221709006
AL,2010,O051,hemorrhage,9,2.0785219399538106
AL,2010,O061,hemorrhage,46,10.623556581986143
AL,2010,O081,hemorrhage,5,1.1547344110854503
AL,2010,O441,hemorrhage,68,15.704387990762125
AL,2010,O450,hemorrhage,28,6.466512702078522
AL,2010,O458,hemorrhage,10,2.3094688221709005
AL,2010,O459,hemorrhage,66,15.242494226327944
AL,2010,O468,hemorrhage,14,3.233256351039261
AL,2010,O469,hemorrhage,4,0.9237875288683602
AL,2010,O670,hemorrhage,1,0.23094688221709006
AL,2010,O720,hemorrhage,1,0.23094688221709006
AL,2010,O721,hemorrhage,13,3.0023094688221708
AL,2010,O722,hemorrhage,20,4.618937644341801
AL,2010,O11,hypertension,18,1.7595307917888563
AL,2010,O140,hypertension,81,7.9178885630498534
AL,2010,O141,hypertension,300,29.325513196480937
AL,2010,O149,hypertension,557,54.44770283479961
AL,2010,O150,hypertension,47,4.594330400782014
AL,2010,O151,hypertension,7,0.6842619745845552
AL,2010,O152,hypertension,10,0.9775171065493646
AL,2010,O159,hypertension,3,0.2932551319648094
AL,2011,O030,W,12,0.7104795737122558
AL,2011,O031,W,136,8.052101835405566
AL,2011,O035,W,5,0.2960331557134399
AL,2011,O036,W,5,0.2960331557134399
AL,2011,O040,W,2,0.11841326228537596
AL,2011,O041,W,1,0.05920663114268798
AL,2011,O050,W,2,0.11841326228537596
AL,2011,O051,W,4,0.23682652457075193
AL,2011,O055,W,1,0.05920663114268798
AL,2011,O061,W,4,0.23682652457075193
AL,2011,O065,W,1,0.05920663114268798
AL,2011,O080,W,3,0.17761989342806395
AL,2011,O083,W,1,0.05920663114268798
AL,2011,O11,W,33,1.9538188277087034
AL,2011,O140,W,85,5.0325636471284785
AL,2011,O141,W,354,20.959147424511546
AL,2011,O149,W,520,30.78744819419775
AL,2011,O150,W,46,2.723505032563647
AL,2011,O151,W,10,0.5920663114268798
AL,2011,O152,W,16,0.9473060982830077
AL,2011,O159,W,2,0.11841326228537596
AL,2011,O411,W,11,0.6512729425695678
AL,2011,O441,W,55,3.256364712847839
AL,2011,O450,W,44,2.605091770278271
AL,2011,O458,W,3,0.17761989342806395
AL,2011,O459,W,81,4.7957371225577266
AL,2011,O468,W,7,0.4144464179988159
AL,2011,O469,W,2,0.11841326228537596
AL,2011,O711,W,2,0.11841326228537596
AL,2011,O720,W,3,0.17761989342806395
AL,2011,O721,W,9,0.5328596802841918
AL,2011,O722,W,4,0.23682652457075193
AL,2011,O85,W,140,8.288928359976317
AL,2011,O860,W,70,4.144464179988159
AL,2011,O868,W,7,0.4144464179988159
AL,2011,O900,W,8,0.47365304914150386
AL,2011,O031,hemorrhage,136,37.98882681564246
AL,2011,O036,hemorrhage,5,1.3966480446927374
AL,2011,O041,hemorrhage,1,0.27932960893854747
AL,2011,O051,hemorrhage,4,1.1173184357541899
AL,2011,O061,hemorrhage,4,1.1173184357541899
AL,2011,O441,hemorrhage,55,15.363128491620111
AL,2011,O450,hemorrhage,44,12.29050279329609
AL,2011,O458,hemorrhage,3,0.8379888268156425
AL,2011,O459,hemorrhage,81,22.625698324022345
AL,2011,O468,hemorrhage,7,1.9553072625698324
AL,2011,O469,hemorrhage,2,0.5586592178770949
AL,2011,O720,hemorrhage,3,0.8379888268156425
AL,2011,O721,hemorrhage,9,2.5139664804469275
AL,2011,O722,hemorrhage,4,1.1173184357541899
AL,2011,O11,hypertension,33,3.095684803001876
AL,2011,O140,hypertension,85,7.973733583489681
AL,2011,O141,hypertension,354,33.208255159474675
AL,2011,O149,hypertension,520,48.78048780487805
AL,2011,O150,hypertension,46,4.315196998123827
AL,2011,O151,hypertension,10,0.9380863039399625
AL,2011,O152,hypertension,16,1.5009380863039399
AL,2011,O159,hypertension,2,0.18761726078799248
AL,2012,O030,W,20,1.2195121951219512
AL,2012,O031,W,97,5.914634146341464
AL,2012,O035,W,16,0.975609756097561
AL,2012,O036,W,2,0.12195121951219512
AL,2012,O050,W,2,0.12195121951219512
AL,2012,O051,W,1,0.06097560975609756
AL,2012,O060,W,1,0.06097560975609756
AL,2012,O066,W,1,0.06097560975609756
AL,2012,O083,W,2,0.12195121951219512
AL,2012,O11,W,16,0.975609756097561
AL,2012,O140,W,81,4.939024390243903
AL,2012,O141,W,326,19.878048780487806
AL,2012,O149,W,625,38.109756097560975
AL,2012,O150,W,48,2.926829268292683
AL,2012,O151,W,4,0.24390243902439024
AL,2012,O152,W,8,0.4878048780487805
AL,2012,O441,W,29,1.7682926829268293
AL,2012,O450,W,34,2.073170731707317
AL,2012,O458,W,2,0.12195121951219512
AL,2012,O459,W,74,4.512195121951219
AL,2012,O468,W,3,0.18292682926829268
AL,2012,O469,W,1,0.06097560975609756
AL,2012,O694,W,1,0.06097560975609756
AL,2012,O710,W,2,0.12195121951219512
AL,2012,O711,W,1,0.06097560975609756
AL,2012,O720,W,1,0.06097560975609756
AL,2012,O721,W,7,0.4268292682926829
AL,2012,O722,W,8,0.4878048780487805
AL,2012,O85,W,151,9.207317073170731
AL,2012,O860,W,60,3.658536585365854
AL,2012,O868,W,11,0.6707317073170732
AL,2012,O900,W,5,0.3048780487804878
AL,2012,O031,hemorrhage,97,37.16475095785441
AL,2012,O036,hemorrhage,2,0.7662835249042146
AL,2012,O051,hemorrhage,1,0.3831417624521073
AL,2012,O066,hemorrhage,1,0.3831417624521073
AL,2012,O441,hemorrhage,29,11.11111111111111
AL,2012,O450,hemorrhage,34,13.026819923371647
AL,2012,O458,hemorrhage,2,0.7662835249042146
AL,2012,O459,hemorrhage,74,28.35249042145594
AL,2012,O468,hemorrhage,3,1.1494252873563218
AL,2012,O469,hemorrhage,1,0.3831417624521073
AL,2012,O694,hemorrhage,1,0.3831417624521073
AL,2012,O720,hemorrhage,1,0.3831417624521073
AL,2012,O721,hemorrhage,7,2.681992337164751
AL,2012,O722,hemorrhage,8,3.0651340996168583
AL,2012,O11,hypertension,16,1.444043321299639
AL,2012,O140,hypertension,81,7.310469314079422
AL,2012,O141,hypertension,326,29.422382671480143
AL,2012,O149,hypertension,625,56.40794223826715
AL,2012,O150,hypertension,48,4.332129963898917
AL,2012,O151,hypertension,4,0.36101083032490977
AL,2012,O152,hypertension,8,0.7220216606498195
AL,2013,O030,W,15,0.7982969664715274
AL,2013,O031,W,54,2.873869079297499
AL,2013,O035,W,11,0.5854177754124534
AL,2013,O036,W,4,0.21287919105907396
AL,2013,O040,W,2,0.10643959552953698
AL,2013,O050,W,1,0.05321979776476849
AL,2013,O051,W,2,0.10643959552953698
AL,2013,O065,W,1,0.05321979776476849
AL,2013,O11,W,6,0.31931878658861096
AL,2013,O140,W,104,5.534858967535923
AL,2013,O141,W,446,23.736029803086748
AL,2013,O149,W,630,33.52847259180415
AL,2013,O150,W,62,3.2996274614156467
AL,2013,O151,W,10,0.532197977647685
AL,2013,O152,W,16,0.8515167642362959
AL,2013,O159,W,3,0.15965939329430548
AL,2013,O411,W,1,0.05321979776476849
AL,2013,O441,W,24,1.2772751463544438
AL,2013,O450,W,29,1.5433741351782864
AL,2013,O458,W,13,0.6918573709419904
AL,2013,O459,W,56,2.9803086748270355
AL,2013,O460,W,3,0.15965939329430548
AL,2013,O468,W,14,0.7450771687067589
AL,2013,O469,W,3,0.15965939329430548
AL,2013,O694,W,1,0.05321979776476849
AL,2013,O721,W,4,0.21287919105907396
AL,2013,O722,W,5,0.2660989888238425
AL,2013,O85,W,284,15.114422565194252
AL,2013,O860,W,55,2.927088877062267
AL,2013,O868,W,12,0.6386375731772219
AL,2013,O900,W,8,0.4257583821181479
AL,2013,O031,hemorrhage,54,25.471698113207548
AL,2013,O036,hemorrhage,4,1.8867924528301887
AL,2013,O051,hemorrhage,2,0.9433962264150944
AL,2013,O441,hemorrhage,24,11.320754716981131
AL,2013,O450,hemorrhage,29,13.679245283018869
AL,2013,O458,hemorrhage,13,6.132075471698113
AL,2013,O459,hemorrhage,56,26.41509433962264
AL,2013,O460,hemorrhage,3,1.4150943396226414
AL,2013,O468,hemorrhage,14,6.60377358490566
AL,2013,O469,hemorrhage,3,1.4150943396226414
AL,2013,O694,hemorrhage,1,0.4716981132075472
AL,2013,O721,hemorrhage,4,1.8867924528301887
AL,2013,O722,hemorrhage,5,2.358490566037736
AL,2013,O11,hypertension,6,0.46985121378230227
AL,2013,O140,hypertension,104,8.144087705559906
AL,2013,O141,hypertension,446,34.92560689115113
AL,2013,O149,hypertension,630,49.33437744714174
AL,2013,O150,hypertension,62,4.85512920908379
AL,2013,O151,hypertension,10,0.7830853563038371
AL,2013,O152,hypertension,16,1.2529365700861395
AL,2013,O159,hypertension,3,0.23492560689115113
AL,2014,O030,W,50,3.61794500723589
AL,2014,O031,W,73,5.2821997105644
AL,2014,O035,W,15,1.085383502170767
AL,2014,O036,W,1,0.0723589001447178
AL,2014,O051,W,4,0.2894356005788712
AL,2014,O055,W,1,0.0723589001447178
AL,2014,O065,W,1,0.0723589001447178
AL,2014,O066,W,1,0.0723589001447178
AL,2014,O083,W,2,0.1447178002894356
AL,2014,O11,W,6,0.4341534008683068
AL,2014,O140,W,150,10.85383502170767
AL,2014,O141,W,375,27.134587554269174
AL,2014,O149,W,276,19.971056439942114
AL,2014,O150,W,41,2.9667149059334297
AL,2014,O151,W,16,1.1577424023154848
AL,2014,O152,W,7,0.5065123010130246
AL,2014,O159,W,2,0.1447178002894356
AL,2014,O411,W,1,0.0723589001447178
AL,2014,O441,W,22,1.5918958031837915
AL,2014,O450,W,30,2.170767004341534
AL,2014,O458,W,10,0.723589001447178
AL,2014,O459,W,40,2.894356005788712
AL,2014,O468,W,7,0.5065123010130246
AL,2014,O469,W,2,0.1447178002894356
AL,2014,O694,W,3,0.2170767004341534
AL,2014,O710,W,1,0.0723589001447178
AL,2014,O711,W,1,0.0723589001447178
AL,2014,O721,W,2,0.1447178002894356
AL,2014,O722,W,9,0.6512301013024602
AL,2014,O85,W,167,12.083936324167873
AL,2014,O860,W,46,3.3285094066570187
AL,2014,O868,W,14,1.0130246020260492
AL,2014,O900,W,6,0.4341534008683068
AL,2014,O031,hemorrhage,73,35.78431372549019
AL,2014,O036,hemorrhage,1,0.49019607843137253
AL,2014,O051,hemorrhage,4,1.9607843137254901
AL,2014,O066,hemorrhage,1,0.49019607843137253
AL,2014,O441,hemorrhage,22,10.784313725490197
AL,2014,O450,hemorrhage,30,14.705882352941176
AL,2014,O458,hemorrhage,10,4.901960784313726
AL,2014,O459,hemorrhage,40,19.607843137254903
AL,2014,O468,hemorrhage,7,3.4313725490196076
AL,2014,O469,hemorrhage,2,0.9803921568627451
AL,2014,O694,hemorrhage,3,1.4705882352941178
AL,2014,O721,hemorrhage,2,0.9803921568627451
AL,2014,O722,hemorrhage,9,4.411764705882353
AL,2014,O11,hypertension,6,0.6872852233676976
AL,2014,O140,hypertension,150,17.18213058419244
AL,2014,O141,hypertension,375,42.955326460481096
AL,2014,O149,hypertension,276,31.61512027491409
AL,2014,O150,hypertension,41,4.696449026345934
AL,2014,O151,hypertension,16,1.8327605956471935
AL,2014,O152,hypertension,7,0.8018327605956472
AL,2014,O159,hypertension,2,0.2290950744558992
AL,2015,K359,W,1,0.05178663904712584
AL,2015,O030,W,43,2.2268254790264113
AL,2015,O031,W,194,10.046607975142413
AL,2015,O035,W,36,1.8643190056965302
AL,2015,O036,W,1,0.05178663904712584
AL,2015,O040,W,1,0.05178663904712584
AL,2015,O050,W,1,0.05178663904712584
AL,2015,O051,W,1,0.05178663904712584
AL,2015,O056,W,1,0.05178663904712584
AL,2015,O060,W,2,0.10357327809425168
AL,2015,O061,W,4,0.20714655618850336
AL,2015,O065,W,3,0.15535991714137753
AL,2015,O080,W,10,0.5178663904712584
AL,2015,O081,W,2,0.10357327809425168
AL,2015,O082,W,1,0.05178663904712584
AL,2015,O083,W,2,0.10357327809425168
AL,2015,O11,W,17,0.8803728638011393
AL,2015,O140,W,135,6.991196271361988
AL,2015,O141,W,479,24.80580010357328
AL,2015,O149,W,451,23.355774210253756
AL,2015,O150,W,47,2.4339720352149143
AL,2015,O151,W,23,1.1910926980838943
AL,2015,O152,W,5,0.2589331952356292
AL,2015,O159,W,4,0.20714655618850336
AL,2015,O441,W,34,1.7607457276022787
AL,2015,O450,W,44,2.278612118073537
AL,2015,O458,W,10,0.5178663904712584
AL,2015,O459,W,60,3.1071983428275507
AL,2015,O468,W,2,0.10357327809425168
AL,2015,O469,W,1,0.05178663904712584
AL,2015,O670,W,1,0.05178663904712584
AL,2015,O694,W,1,0.05178663904712584
AL,2015,O710,W,1,0.05178663904712584
AL,2015,O711,W,2,0.10357327809425168
AL,2015,O720,W,2,0.10357327809425168
AL,2015,O721,W,2,0.10357327809425168
AL,2015,O722,W,4,0.20714655618850336
AL,2015,O85,W,202,10.46090108751942
AL,2015,O860,W,78,4.0393578456758155
AL,2015,O868,W,4,0.20714655618850336
AL,2015,O900,W,19,0.983946141895391
AL,2015,O031,hemorrhage,194,53.2967032967033
AL,2015,O036,hemorrhage,1,0.27472527472527475
AL,2015,O051,hemorrhage,1,0.27472527472527475
AL,2015,O056,hemorrhage,1,0.27472527472527475
AL,2015,O061,hemorrhage,4,1.098901098901099
AL,2015,O081,hemorrhage,2,0.5494505494505495
AL,2015,O441,hemorrhage,34,9.340659340659341
AL,2015,O450,hemorrhage,44,12.087912087912088
AL,2015,O458,hemorrhage,10,2.7472527472527473
AL,2015,O459,hemorrhage,60,16.483516483516482
AL,2015,O468,hemorrhage,2,0.5494505494505495
AL,2015,O469,hemorrhage,1,0.27472527472527475
AL,2015,O670,hemorrhage,1,0.27472527472527475
AL,2015,O694,hemorrhage,1,0.27472527472527475
AL,2015,O720,hemorrhage,2,0.5494505494505495
AL,2015,O721,hemorrhage,2,0.5494505494505495
AL,2015,O722,hemorrhage,4,1.098901098901099
AL,2015,O11,hypertension,17,1.4642549526270456
AL,2015,O140,hypertension,135,11.627906976744185
AL,2015,O141,hypertension,479,41.25753660637382
AL,2015,O149,hypertension,451,38.8458225667528
AL,2015,O150,hypertension,47,4.04823428079242
AL,2015,O151,hypertension,23,1.9810508182601205
AL,2015,O152,hypertension,5,0.4306632213608958
AL,2015,O159,hypertension,4,0.34453057708871665
AL,2016,A418,W,1,0.04653327128897161
AL,2016,N700,W,1,0.04653327128897161
AL,2016,O030,W,16,0.7445323406235458
AL,2016,O031,W,309,14.378780828292228
AL,2016,O035,W,2,0.09306654257794322
AL,2016,O036,W,4,0.18613308515588645
AL,2016,O040,W,2,0.09306654257794322
AL,2016,O050,W,1,0.04653327128897161
AL,2016,O051,W,1,0.04653327128897161
AL,2016,O060,W,2,0.09306654257794322
AL,2016,O061,W,6,0.27919962773382967
AL,2016,O065,W,4,0.18613308515588645
AL,2016,O080,W,8,0.3722661703117729
AL,2016,O081,W,1,0.04653327128897161
AL,2016,O11,W,7,0.3257328990228013
AL,2016,O140,W,193,8.980921358771521
AL,2016,O141,W,450,20.939972080037226
AL,2016,O149,W,566,26.337831549557933
AL,2016,O150,W,36,1.6751977664029782
AL,2016,O151,W,21,0.9771986970684039
AL,2016,O152,W,6,0.27919962773382967
AL,2016,O159,W,4,0.18613308515588645
AL,2016,O441,W,31,1.4425314099581201
AL,2016,O450,W,33,1.5355979525360632
AL,2016,O458,W,18,0.8375988832014891
AL,2016,O459,W,80,3.7226617031177294
AL,2016,O460,W,1,0.04653327128897161
AL,2016,O468,W,6,0.27919962773382967
AL,2016,O469,W,1,0.04653327128897161
AL,2016,O711,W,3,0.13959981386691483
AL,2016,O720,W,2,0.09306654257794322
AL,2016,O721,W,7,0.3257328990228013
AL,2016,O722,W,13,0.604932526756631
AL,2016,O85,W,244,11.354118194509073
AL,2016,O860,W,53,2.4662633783154955
AL,2016,O868,W,7,0.3257328990228013
AL,2016,O900,W,9,0.41879944160074456
AL,2016,O031,hemorrhage,309,60.23391812865497
AL,2016,O036,hemorrhage,4,0.7797270955165692
AL,2016,O051,hemorrhage,1,0.1949317738791423
AL,2016,O061,hemorrhage,6,1.1695906432748537
AL,2016,O081,hemorrhage,1,0.1949317738791423
AL,2016,O441,hemorrhage,31,6.042884990253412
AL,2016,O450,hemorrhage,33,6.432748538011696
AL,2016,O458,hemorrhage,18,3.508771929824561
AL,2016,O459,hemorrhage,80,15.594541910331383
AL,2016,O460,hemorrhage,1,0.1949317738791423
AL,2016,O468,hemorrhage,6,1.1695906432748537
AL,2016,O469,hemorrhage,1,0.1949317738791423
AL,2016,O720,hemorrhage,2,0.3898635477582846
AL,2016,O721,hemorrhage,7,1.364522417153996
AL,2016,O722,hemorrhage,13,2.53411306042885
AL,2016,O11,hypertension,7,0.5455962587685113
AL,2016,O140,hypertension,193,15.04286827747467
AL,2016,O141,hypertension,450,35.074045206547154
AL,2016,O149,hypertension,566,44.1153546375682
AL,2016,O150,hypertension,36,2.8059236165237724
AL,2016,O151,hypertension,21,1.636788776305534
AL,2016,O152,hypertension,6,0.4676539360872954
AL,2016,O159,hypertension,4,0.3117692907248636
AL,2017,O030,W,19,0.9021842355175689
AL,2017,O031,W,239,11.348528015194681
AL,2017,O035,W,2,0.0949667616334283
AL,2017,O036,W,1,0.04748338081671415
AL,2017,O051,W,2,0.0949667616334283
AL,2017,O056,W,1,0.04748338081671415
AL,2017,O060,W,5,0.23741690408357075
AL,2017,O061,W,4,0.1899335232668566
AL,2017,O065,W,4,0.1899335232668566
AL,2017,O066,W,1,0.04748338081671415
AL,2017,O080,W,17,0.8072174738841406
AL,2017,O11,W,25,1.1870845204178537
AL,2017,O140,W,172,8.167141500474834
AL,2017,O141,W,476,22.602089268755936
AL,2017,O149,W,595,28.25261158594492
AL,2017,O150,W,43,2.0417853751187085
AL,2017,O151,W,14,0.6647673314339981
AL,2017,O152,W,9,0.42735042735042733
AL,2017,O159,W,6,0.2849002849002849
AL,2017,O411,W,4,0.1899335232668566
AL,2017,O441,W,25,1.1870845204178537
AL,2017,O450,W,58,2.7540360873694207
AL,2017,O458,W,17,0.8072174738841406
AL,2017,O459,W,68,3.2288698955365622
AL,2017,O468,W,4,0.1899335232668566
AL,2017,O469,W,4,0.1899335232668566
AL,2017,O710,W,1,0.04748338081671415
AL,2017,O711,W,2,0.0949667616334283
AL,2017,O720,W,2,0.0949667616334283
AL,2017,O721,W,9,0.42735042735042733
AL,2017,O722,W,5,0.23741690408357075
AL,2017,O85,W,200,9.49667616334283
AL,2017,O860,W,55,2.611585944919278
AL,2017,O868,W,12,0.5698005698005698
AL,2017,O900,W,5,0.23741690408357075
AL,2017,O031,hemorrhage,239,54.31818181818182
AL,2017,O036,hemorrhage,1,0.22727272727272727
AL,2017,O051,hemorrhage,2,0.45454545454545453
AL,2017,O056,hemorrhage,1,0.22727272727272727
AL,2017,O061,hemorrhage,4,0.9090909090909091
AL,2017,O066,hemorrhage,1,0.22727272727272727
AL,2017,O441,hemorrhage,25,5.681818181818182
AL,2017,O450,hemorrhage,58,13.181818181818182
AL,2017,O458,hemorrhage,17,3.8636363636363638
AL,2017,O459,hemorrhage,68,15.454545454545455
AL,2017,O468,hemorrhage,4,0.9090909090909091
AL,2017,O469,hemorrhage,4,0.9090909090909091
AL,2017,O720,hemorrhage,2,0.45454545454545453
AL,2017,O721,hemorrhage,9,2.0454545454545454
AL,2017,O722,hemorrhage,5,1.1363636363636365
AL,2017,O11,hypertension,25,1.8656716417910448
AL,2017,O140,hypertension,172,12.835820895522389
AL,2017,O141,hypertension,476,35.52238805970149
AL,2017,O149,hypertension,595,44.40298507462686
AL,2017,O150,hypertension,43,3.208955223880597
AL,2017,O151,hypertension,14,1.044776119402985
AL,2017,O152,hypertension,9,0.6716417910447762
AL,2017,O159,hypertension,6,0.44776119402985076
AL,2018,O030,W,13,0.6595636732623034
AL,2018,O031,W,172,8.726534753932015
AL,2018,O035,W,5,0.2536783358701167
AL,2018,O036,W,3,0.15220700152207
AL,2018,O041,W,1,0.050735667174023336
AL,2018,O045,W,1,0.050735667174023336
AL,2018,O046,W,1,0.050735667174023336
AL,2018,O050,W,1,0.050735667174023336
AL,2018,O055,W,1,0.050735667174023336
AL,2018,O061,W,5,0.2536783358701167
AL,2018,O065,W,5,0.2536783358701167
AL,2018,O080,W,3,0.15220700152207
AL,2018,O11,W,66,3.34855403348554
AL,2018,O140,W,180,9.132420091324201
AL,2018,O141,W,340,17.250126839167937
AL,2018,O149,W,683,34.65246067985794
AL,2018,O150,W,42,2.13089802130898
