territory,year,admissions,W,hemorrhage,diagnosis,cases,per_1000,percent_of_all_markers,percent_of_hemorrhage
RN,2021,44196,2586,325,O061,6,0.13575889220743959,0.23201856148491878,1.8461538461538463
RN,2022,39431,2650,244,O031,18,0.4564936217696736,0.6792452830188679,7.377049180327869
RN,2022,39431,2650,244,O061,4,0.10144302705992747,0.1509433962264151,1.639344262295082
RN,2023,41328,3195,230,O031,14,0.33875338753387535,0.4381846635367762,6.086956521739131
RN,2023,41328,3195,230,O061,7,0.16937669376693767,0.2190923317683881,3.0434782608695654
RN,2024,39388,3272,255,O031,19,0.4823804204326191,0.5806845965770171,7.450980392156863
RN,2024,39388,3272,255,O061,5,0.1269422159033208,0.1528117359413203,1.9607843137254901
RN,2025,41257,3572,274,O031,32,0.7756259543834986,0.8958566629339306,11.678832116788321
RN,2025,41257,3572,274,O061,1,0.02423831107448433,0.027995520716685332,0.36496350364963503
SE,2008,33302,2070,1785,O031,1697,50.95790042640082,81.98067632850241,95.07002801120449
SE,2008,33302,2070,1785,O061,0,0.0,0.0,0.0
SE,2009,32019,2192,1808,O031,1731,54.06165089478122,78.96897810218978,95.74115044247787
SE,2009,32019,2192,1808,O061,0,0.0,0.0,0.0
SE,2010,30037,2319,1936,O031,1869,62.22325798182242,80.59508408796896,96.5392561983471
SE,2010,30037,2319,1936,O061,0,0.0,0.0,0.0
SE,2011,30324,2452,1823,O031,1736,57.24838411819021,70.79934747145188,95.22764673614921
SE,2011,30324,2452,1823,O061,0,0.0,0.0,0.0
SE,2012,29212,2241,1731,O031,1635,55.97014925373134,72.95850066934405,94.45407279029463
SE,2012,29212,2241,1731,O061,1,0.03423250718882651,0.04462293618920125,0.057770075101097634
SE,2013,28521,1966,1425,O031,1336,46.84267732547947,67.95523906408953,93.75438596491227
SE,2013,28521,1966,1425,O061,0,0.0,0.0,0.0
SE,2014,27845,1801,1280,O031,1196,42.9520560244209,66.40755136035536,93.4375
SE,2014,27845,1801,1280,O061,2,0.07182618064284432,0.1110494169905608,0.15625
SE,2015,30492,1877,1005,O031,892,29.253574708120162,47.52264251465104,88.75621890547264
SE,2015,30492,1877,1005,O061,3,0.09838646202282567,0.15982951518380395,0.29850746268656714
SE,2016,27685,1684,714,O031,617,22.286436698573233,36.63895486935867,86.41456582633053
SE,2016,27685,1684,714,O061,2,0.07224128589488893,0.1187648456057007,0.2801120448179272
SE,2017,29490,1781,713,O031,555,18.819938962360123,31.162268388545762,77.84011220196354
SE,2017,29490,1781,713,O061,13,0.4408273991183452,0.7299270072992701,1.8232819074333801
SE,2018,31193,1946,708,O031,543,17.40775173917225,27.90339157245632,76.69491525423729
SE,2018,31193,1946,708,O061,12,0.3847016958933094,0.6166495375128469,1.694915254237288
SE,2019,28532,1851,807,O031,633,22.185616150287398,34.19773095623987,78.43866171003718
