care,minimum_admissions,indicator,outcome,n,status,pearson_r,spearman_rho,period,census_year
any_uf,1000,sewer_septic,hemorrhage,775,ok,0.04449609782286555,0.03600857165504643,2020-2024,2022
any_uf,1000,sewer_septic,W,775,ok,0.10809557365885032,0.09926252309549712,2020-2024,2022
same_uf,1,income_pc,hypertension,1794,ok,0.0897922519788919,0.07839966704101545,2020-2024,2022
same_uf,1,income_pc,hemorrhage,1794,ok,0.0478471485736625,0.03202869938686371,2020-2024,2022
same_uf,1,income_pc,W,1794,ok,0.1303696140401032,0.0961114583159977,2020-2024,2022
same_uf,1,illiteracy_15plus,hypertension,1794,ok,-0.13151332253784287,-0.12129001180955043,2020-2024,2022
same_uf,1,illiteracy_15plus,hemorrhage,1794,ok,-0.0325341970503968,-0.016586034985182133,2020-2024,2022
same_uf,1,illiteracy_15plus,W,1794,ok,-0.15649315285815585,-0.14390440145651595,2020-2024,2022
same_uf,1,sewer_septic,hypertension,1794,ok,0.06632786975764478,0.05447229822431795,2020-2024,2022
same_uf,1,sewer_septic,hemorrhage,1794,ok,0.014841609657261912,0.011620932855206458,2020-2024,2022
same_uf,1,sewer_septic,W,1794,ok,0.08002612934677651,0.06470986422446315,2020-2024,2022
same_uf,1000,income_pc,hypertension,759,ok,0.08698265985518007,0.08361869870426838,2020-2024,2022
same_uf,1000,income_pc,hemorrhage,759,ok,0.0226064290265674,0.013040822488824632,2020-2024,2022
same_uf,1000,income_pc,W,759,ok,0.12713224249261715,0.10488615306622094,2020-2024,2022
same_uf,1000,illiteracy_15plus,hypertension,759,ok,-0.1749758906648375,-0.16099362311251678,2020-2024,2022
same_uf,1000,illiteracy_15plus,hemorrhage,759,ok,-0.03866108320202035,-0.05661973029078431,2020-2024,2022
same_uf,1000,illiteracy_15plus,W,759,ok,-0.217933626950741,-0.21350063829253102,2020-2024,2022
same_uf,1000,sewer_septic,hypertension,759,ok,0.059902413621684567,0.04817776220267059,2020-2024,2022
same_uf,1000,sewer_septic,hemorrhage,759,ok,0.03635442371764935,0.03729913041104137,2020-2024,2022
same_uf,1000,sewer_septic,W,759,ok,0.09448349079042642,0.08369743664621566,2020-2024,2022
any_uf,1,income_pc,hypertension,1794,ok,0.0651144716390741,0.04945468408128613,2021-2025,2022
any_uf,1,income_pc,hemorrhage,1794,ok,0.04546206964491883,0.022606147269046556,2021-2025,2022
any_uf,1,income_pc,W,1794,ok,0.10524334299118142,0.07377497647297697,2021-2025,2022
any_uf,1,illiteracy_15plus,hypertension,1794,ok,-0.10401970200597618,-0.09549667510114555,2021-2025,2022
any_uf,1,illiteracy_15plus,hemorrhage,1794,ok,-0.017205321603862688,0.010847697503493165,2021-2025,2022
any_uf,1,illiteracy_15plus,W,1794,ok,-0.12701912659973874,-0.11497268260644343,2021-2025,2022
any_uf,1,sewer_septic,hypertension,1794,ok,0.07124946377949114,0.06160873524138422,2021-2025,2022
any_uf,1,sewer_septic,hemorrhage,1794,ok,0.006656519273986908,-0.004358701040089113,2021-2025,2022
any_uf,1,sewer_septic,W,1794,ok,0.08184673399649028,0.06918245859382066,2021-2025,2022
any_uf,1000,income_pc,hypertension,765,ok,0.049325188051209924,0.02269481977529006,2021-2025,2022
any_uf,1000,income_pc,hemorrhage,765,ok,0.03320729938012841,-0.00026791827786243924,2021-2025,2022
any_uf,1000,income_pc,W,765,ok,0.0999399136035278,0.05870466838780644,2021-2025,2022
any_uf,1000,illiteracy_15plus,hypertension,765,ok,-0.14452431127929785,-0.11635526214772408,2021-2025,2022
any_uf,1000,illiteracy_15plus,hemorrhage,765,ok,-0.04858630919814534,-0.04585756056230756,2021-2025,2022
any_uf,1000,illiteracy_15plus,W,765,ok,-0.19693449702940546,-0.17859743312598425,2021-2025,2022
any_uf,1000,sewer_septic,hypertension,765,ok,0.05408114487308929,0.045362339493164615,2021-2025,2022
any_uf,1000,sewer_septic,hemorrhage,765,ok,0.040666683321632355,0.014542262543373237,2021-2025,2022
any_uf,1000,sewer_septic,W,765,ok,0.08862975715222549,0.07857734701200618,2021-2025,2022
same_uf,1,income_pc,hypertension,1794,ok,0.06995409267322576,0.0610355477299324,2021-2025,2022
same_uf,1,income_pc,hemorrhage,1794,ok,0.04398024546930167,0.030207392921757722,2021-2025,2022
same_uf,1,income_pc,W,1794,ok,0.1108536120695712,0.08698487864870023,2021-2025,2022
same_uf,1,illiteracy_15plus,hypertension,1794,ok,-0.10633204009758702,-0.10108295322563822,2021-2025,2022
same_uf,1,illiteracy_15plus,hemorrhage,1794,ok,-0.02096042394402905,-0.004707724237644728,2021-2025,2022
same_uf,1,illiteracy_15plus,W,1794,ok,-0.1314892281844709,-0.12273844601731589,2021-2025,2022
same_uf,1,sewer_septic,hypertension,1794,ok,0.06266876748251944,0.05023556357300178,2021-2025,2022
same_uf,1,sewer_septic,hemorrhage,1794,ok,0.003701317095048447,-0.0004924228888869379,2021-2025,2022
same_uf,1,sewer_septic,W,1794,ok,0.07406649356898992,0.059143110656406234,2021-2025,2022
same_uf,1000,income_pc,hypertension,746,ok,0.061352191114317785,0.0431753249981073,2021-2025,2022
same_uf,1000,income_pc,hemorrhage,746,ok,0.028088529218884467,0.020358046218894196,2021-2025,2022
same_uf,1000,income_pc,W,746,ok,0.10796546768460402,0.07415854213996592,2021-2025,2022
same_uf,1000,illiteracy_15plus,hypertension,746,ok,-0.15736299670291276,-0.13425744228969147,2021-2025,2022
same_uf,1000,illiteracy_15plus,hemorrhage,746,ok,-0.04601019966421834,-0.06231374557091001,2021-2025,2022
same_uf,1000,illiteracy_15plus,W,746,ok,-0.20794777268076794,-0.19434001867419343,2021-2025,2022
same_uf,1000,sewer_septic,hypertension,746,ok,0.03871851064095924,0.02216792029120133,2021-2025,2022
same_uf,1000,sewer_septic,hemorrhage,746,ok,0.03431379194110813,0.020394220078729847,2021-2025,2022
same_uf,1000,sewer_septic,W,746,ok,0.07568363144282893,0.06271810933546959,2021-2025,2022
