care,territory,municipalities,with_admissions,at_least_1000,admissions_at_least_1000,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,hypertension_per_1000,hypertension_municipal_mean,hemorrhage_per_1000,hemorrhage_municipal_mean,W_per_1000,W_municipal_mean,outside_percent,period,census_year
any_uf,NE,1794,1794,842,3429464,3913500,2795,54007,74014,41456,140519,18.912482432605085,16.167522857077437,10.593075252331673,10.483828739469136,35.90622205187172,30.91661809105916,1.3800178868020954,2008-2012,2010
any_uf,AL,102,102,63,240615,265805,104,6592,5574,2010,8886,20.970260153119767,17.718437595839582,7.561934500855891,8.137171986226562,33.430522375425596,30.70508049389566,2.480013543763285,2008-2012,2010
any_uf,BA,417,417,231,906291,1023955,397,14975,15009,7866,32248,14.657870707208813,11.160910115755485,7.681978211933141,7.068933469009673,31.49357149484108,23.618873363253876,1.4624666123022985,2008-2012,2010
any_uf,CE,184,184,128,562636,598075,162,1395,18393,2483,23669,30.753668018225138,26.598827075554276,4.151653220749906,4.106216283428861,39.575304100656275,34.593268186040184,0.2332483384190946,2008-2012,2010
any_uf,MA,217,217,113,450061,504485,105,13704,4471,5040,11740,8.86250334499539,8.434813787882273,9.990386235467854,8.745270575969757,23.271256826268374,21.130597084934244,2.7164335906914974,2008-2012,2010
any_uf,PB,223,223,54,193887,262515,69,7232,4681,3844,9543,17.83136201740853,13.48882014095776,14.642972782507666,22.12565409290508,36.3522084452317,37.8479763049794,2.754890196750662,2008-2012,2010
any_uf,PE,185,185,135,601930,637464,1805,7773,9021,1703,16008,14.151387372463386,12.537305512499989,2.6715234115181405,2.4334847408991402,25.112006325063064,21.647178311886023,1.219362975791574,2008-2012,2010
any_uf,PI,224,224,43,176343,244638,63,1523,7609,7891,16822,31.103099273211846,23.287761890529563,32.25582288933036,15.283188741798284,68.76282507214742,41.68359177513529,0.6225525061519469,2008-2012,2010
any_uf,RN,167,167,36,161685,221669,55,372,7573,1536,10329,34.16355015811864,27.095719107425047,6.92925036879311,7.0974341318019825,46.59650199170836,38.045855911110266,0.16781778236920813,2008-2012,2010
any_uf,SE,75,75,39,136016,154894,35,441,1683,9083,11274,10.865495112786808,9.996865506855016,58.64010226348341,31.787508404549552,72.78525959688561,45.297524537983286,0.2847108345061784,2008-2012,2010
same_uf,NE,1794,1794,828,3380684,3859493,2764,0,72307,39765,136780,18.734844188083773,16.095627271938447,10.303166763095566,10.365285241847218,35.439888088927745,30.698314390942855,0.0,2008-2012,2010
same_uf,AL,102,102,62,235001,259213,104,0,5540,1457,8222,21.37238487267228,18.638409669842336,5.620860064888721,5.498287837351522,31.719088163016515,28.360425123937063,0.0,2008-2012,2010
same_uf,BA,417,417,226,891196,1008980,381,0,14387,7695,31345,14.258954587801542,10.752179398970599,7.626513905131915,7.333975765427543,31.06602707684989,23.437294948488866,0.0,2008-2012,2010
same_uf,CE,184,184,127,560774,596680,162,0,18360,2470,23620,30.770262117047665,26.591815099949372,4.139572300060334,4.109056081735377,39.58570758195348,34.59471366198782,0.0,2008-2012,2010
same_uf,MA,217,217,112,438182,490781,96,0,3592,4409,10125,7.318946739991972,7.129344066723593,8.98364036097567,8.121344555050484,20.63038300178695,19.28062347250717,0.0,2008-2012,2010
same_uf,PB,223,223,51,190061,255283,66,0,4650,3820,9480,18.215078951594897,14.277595711373378,14.963785289267205,23.15676228714066,37.135257733574115,39.680743107073404,0.0,2008-2012,2010
same_uf,PE,185,185,132,592344,629691,1802,0,8938,1442,15632,14.194263535607147,12.50447899446572,2.2900120852926276,1.5380302001289514,24.824874422534226,20.762903254808794,0.0,2008-2012,2010
same_uf,PI,224,224,43,175949,243115,63,0,7593,7882,16793,31.232132941200668,23.556758323666134,32.42087078131748,15.378161949933972,69.07430639820662,42.0503050455672,0.0,2008-2012,2010
same_uf,RN,167,167,36,161579,221297,55,0,7567,1536,10321,34.193866161764504,27.107362457886197,6.940898430615869,7.117883158160891,46.6386801447828,38.072689048940205,0.0,2008-2012,2010
same_uf,SE,75,75,39,135598,154453,35,0,1680,9054,11242,10.877095297598622,9.999216489501107,58.619774300272574,31.679227220549382,72.78589603309744,45.19983783270882,0.0,2008-2012,2010
any_uf,NE,1794,1794,775,3002609,3507893,1470,53424,132647,24721,186735,37.813867184660424,33.50294657908288,7.04725030096414,7.67646549546714,53.232809552628886,46.861057425624885,1.5229654952417306,2020-2024,2022
any_uf,AL,102,102,60,199394,224621,105,2079,7106,1424,10218,31.635510482100962,30.775979552816754,6.339567538208805,5.730683687826405,45.48995864144492,43.25099655691404,0.9255590528045018,2020-2024,2022
any_uf,BA,417,417,191,738330,866529,407,22603,15747,5871,28179,18.172502016666492,16.28375101202201,6.775307000688955,6.841402600071414,32.519396350266405,28.40499212089093,2.6084528042339032,2020-2024,2022
any_uf,CE,184,184,121,534082,574341,213,1869,37379,3448,44333,65.08154563229859,51.67530948744113,6.003402160040812,5.936195633772526,77.18933525553635,62.5657447670274,0.3254164337910753,2020-2024,2022
any_uf,MA,217,217,121,438871,494324,281,9537,8587,2026,15962,17.371197837855334,18.372125221067815,4.098526472516002,4.0552248461178015,32.29056246510386,29.373760664994126,1.9293014298314466,2020-2024,2022
any_uf,PB,223,223,48,171624,242215,83,3433,11408,1205,13962,47.09865202402824,41.247377243011876,4.974918976941973,3.2109773258463505,57.64300311706542,48.52960383790757,1.4173358379951695,2020-2024,2022
any_uf,PE,185,185,126,502114,540749,183,11185,26452,2341,34925,48.91733502974578,45.5050397299461,4.329180451558856,3.9689281093786337,64.58634227710084,57.104526712239334,2.0684273110075098,2020-2024,2022
any_uf,PI,224,224,37,148380,217534,96,1209,11522,4277,17252,52.9664328334881,44.74242409766275,19.66129432640415,21.14754858921729,79.30714279147168,70.29594575789324,0.5557751891658316,2020-2024,2022
any_uf,RN,167,167,37,151987,208451,66,714,11043,1454,14259,52.97647888472591,43.68446062754106,6.975260372941363,6.733527952411661,68.4045651016306,56.08233707173815,0.34252654100963775,2020-2024,2022
any_uf,SE,75,75,34,117827,139129,36,795,3403,2675,7645,24.459314736683222,23.27464746541109,19.2267607759705,14.001213257627539,54.949004161605416,45.70092424735341,0.5714121426877214,2020-2024,2022
same_uf,NE,1794,1794,759,2948134,3454469,1435,0,129642,24136,182737,37.52877793953282,33.13015313867216,6.986891473045495,7.581624022495608,52.89872336385129,46.49995785293764,0.0,2020-2024,2022
same_uf,AL,102,102,58,195763,222542,102,0,7054,1414,10137,31.697387459445856,30.922975284531727,6.353856800064707,5.73495558146322,45.55095217981325,43.37797992061037,0.0,2020-2024,2022
same_uf,BA,417,417,185,715015,843926,391,0,13734,5660,25770,16.273938710266066,14.719589362391787,6.70674916995092,6.722445654859861,30.535852669546856,26.679848452466487,0.0,2020-2024,2022
same_uf,CE,184,184,119,530924,572472,213,0,37318,3429,44244,65.187467684009,51.72824148045016,5.989812602188404,5.9565734532263335,77.28587599044145,62.6070729461534,0.0,2020-2024,2022
same_uf,MA,217,217,118,430092,484787,272,0,7938,1779,15004,16.37420145342181,16.984109357545865,3.6696528578530363,3.3258380918181247,30.94967480563629,28.334545407805003,0.0,2020-2024,2022
same_uf,PB,223,223,48,170493,238782,81,0,11322,1189,13840,47.41563434429731,41.68802981486928,4.979437311020094,3.147142501323441,57.96081781708839,48.881244363271634,0.0,2020-2024,2022
same_uf,PE,185,185,124,490105,529564,180,0,26387,2276,34699,49.82778285533004,46.3492999361481,4.297875233210717,3.9452610989477193,65.52371384761804,57.926801169301775,0.0,2020-2024,2022
same_uf,PI,224,224,36,146924,216325,94,0,11485,4269,17196,53.09141338264186,44.754893350600994,19.734196232520514,21.365640855071952,79.4915058361262,70.4921486322963,0.0,2020-2024,2022
same_uf,RN,167,167,37,151610,207737,66,0,11017,1451,14227,53.033402812209665,43.6829335857101,6.984793272262524,6.747114849836007,68.4856332766912,56.06046805085811,0.0,2020-2024,2022
same_uf,SE,75,75,34,117208,138334,36,0,3387,2669,7620,24.484219353159745,23.31382891195339,19.293882921046162,14.015119934585925,55.08407188399092,45.776809180604516,0.0,2020-2024,2022
any_uf,NE,1794,1794,765,2964895,3474448,1436,50793,138721,23090,191819,39.92605444087809,36.225499003542815,6.645659972461813,7.224191414758408,55.20848203801007,49.428982888001165,1.4619012861899214,2021-2025,2022
any_uf,AL,102,102,60,197875,222930,112,1802,7441,1374,10650,33.37819046337415,32.99863183165747,6.1633696676086664,5.962776185910334,47.77284349347329,46.05153124907276,0.8083254833355762,2021-2025,2022
any_uf,BA,417,417,191,729879,856333,417,21742,16293,5583,28465,19.026476849543343,17.301643592851963,6.519659992082519,6.748546630687955,33.24057346849882,29.53280375514361,2.5389655659655763,2021-2025,2022
