care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh,period,census_year
any_uf,1,NE,income_pc,hypertension,1794,ok,0.08166881838120925,0.0005351641087089521,0.035523445051414845,0.12746668274280423,0.10124248178974615,1.737165466474921e-05,188,2000,20260919,2000,ok,0.019652133455836406,0.14183941521357235,0.006557996238306773,0.0002716147845707994,2008-2012,2010
any_uf,1,NE,income_pc,hemorrhage,1794,ok,0.06643459460665743,0.0048772899050485465,0.020217115662001857,0.11236874700414491,0.04923202157916493,0.03706343386904284,188,2000,20260919,2000,ok,0.007462565261800975,0.13656110866318372,0.0315092231270639,0.0926585846726071,2008-2012,2010
any_uf,1,NE,income_pc,W,1794,ok,0.10954224945833313,3.3113343368782143e-06,0.06358496036283726,0.15503592099198524,0.10718423163422579,5.369580084882294e-06,188,2000,20260919,2000,ok,0.05636027003233892,0.1712153557432006,9.934003010634643e-05,0.0001610874025464688,2008-2012,2010
any_uf,1,NE,illiteracy_15plus,hypertension,1794,ok,0.03916777445297135,0.09722543471501384,-0.007124778283186169,0.08529280457063126,0.04974336464571291,0.03513945989286167,188,2000,20260919,2000,ok,-0.025970171247877073,0.10478514947762325,0.2134216859597865,0.09035861115307288,2008-2012,2010
any_uf,1,NE,illiteracy_15plus,hemorrhage,1794,ok,-0.032204913307221375,0.17273678228224995,-0.07836774938863117,0.014095733282184759,-0.013174707187214202,0.5770776820952302,188,2000,20260919,2000,ok,-0.11653717379783077,0.028032168384097056,0.3096512272371012,0.7018512349806855,2008-2012,2010
any_uf,1,NE,illiteracy_15plus,W,1794,ok,-0.031748274609514134,0.17890959795921402,-0.07791343436678577,0.014552745581278469,-0.017773289958701415,0.45185037706293785,188,2000,20260919,2000,ok,-0.09799489895209644,0.030254387647028536,0.3096512272371012,0.5809504847952058,2008-2012,2010
any_uf,1,NE,sewer_septic,hypertension,1794,ok,0.036774323946609025,0.1194607659809194,-0.009521518610048185,0.08291285222617413,0.06078121648295482,0.010023610644848852,188,2000,20260919,2000,ok,-0.030966173989242358,0.10391049991496468,0.2402692830086915,0.03922282426245203,2008-2012,2010
any_uf,1,NE,sewer_septic,hemorrhage,1794,ok,0.035827213437956,0.12928845917449505,-0.010469784063090331,0.08197093770860905,-0.03830958540055473,0.10478378321774139,188,2000,20260919,2000,ok,-0.02923562277385191,0.10288995237150936,0.24290829331512445,0.21931489510690058,2008-2012,2010
any_uf,1,NE,sewer_septic,W,1794,ok,0.06271186324282578,0.007884762461259045,0.016480055154208275,0.1086760924025185,0.05702373767869404,0.015711079178831446,188,2000,20260919,2000,ok,-0.005120891683019963,0.13530609738971783,0.03734887481649021,0.0565598850437932,2008-2012,2010
any_uf,1,AL,income_pc,hypertension,102,ok,0.24305517914163122,0.01383515981258793,0.05099050827208353,0.41778228814631296,0.2257663230629174,0.02251483192795672,13,2000,20260919,2000,ok,-0.19472204453891948,0.4625211350041787,0.059293542053948274,0.07236910262557518,2008-2012,2010
