minimum_admissions,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,pearson_q_bh
1,income_pc,hypertension,167,ok,-0.088346064212621,0.25623744173496865,-0.23702953999261395,0.06438130551364195,-0.23095306191333834,0.0026745641731676342,0.7499577883934998
1,income_pc,hemorrhage,167,ok,0.06157789881458092,0.4292151016087122,-0.09113796717910316,0.21146400034256554,-0.06726659196633608,0.38773860478105887,0.7499577883934998
1,income_pc,W,167,ok,0.004380738382591215,0.9551930936775265,-0.14758103820983673,0.15614045675523452,-0.1022373354753769,0.18860338998251835,0.9551930936775265
1,illiteracy_10plus,hypertension,167,ok,0.019039325672851524,0.8070631934285166,-0.13320942812635753,0.17041019962020454,0.05761957626062311,0.4595238666421799,0.9079460926070813
1,illiteracy_10plus,hemorrhage,167,ok,-0.07456458563415279,0.3382224642365159,-0.22389289639615714,0.07818434082959984,0.0899632408260239,0.24760128251494337,0.7499577883934998
1,illiteracy_10plus,W,167,ok,-0.05255566320887917,0.49997185892899987,-0.20280064670766504,0.10010691396088782,-0.0028460333377730205,0.9708815373895932,0.7499577883934998
1,sewer_septic,hypertension,167,ok,-0.06054896199903845,0.43698089733729634,-0.21047718046734817,0.09216207985772193,-0.06622520822200378,0.3951448204812853,0.7499577883934998
1,sewer_septic,hemorrhage,167,ok,0.09943477147266058,0.20107319067565452,-0.05323266419993068,0.24756007974879643,0.02183905844036457,0.779372789075469,0.7499577883934998
1,sewer_septic,W,167,ok,0.030825542133681202,0.6925065424864907,-0.12160733020632064,0.1818379030893325,0.00789730158353322,0.919319720761774,0.890365554625488
1000,income_pc,hypertension,36,ok,0.10194399417922657,0.5541037354652859,-0.2344437928163399,0.41652923287643157,-0.035263835263835266,0.8382134487393156,0.7124190884553676
1000,income_pc,hemorrhage,36,ok,-0.11313019627050726,0.5112195661856698,-0.4258386558308681,0.22372063650695945,-0.4133848133848135,0.012210662133878645,0.7124190884553676
1000,income_pc,W,36,ok,-0.032697253778235714,0.8498496132483109,-0.3573937903067024,0.2990509542505271,-0.03346203346203346,0.8463789316546749,0.9560808149043497
1000,illiteracy_10plus,hypertension,36,ok,-0.14434109006851234,0.40096813781332874,-0.45146768566245377,0.1933642121372454,-0.011584502605941491,0.9465370073079268,0.7124190884553676
1000,illiteracy_10plus,hemorrhage,36,ok,0.28660198573418644,0.09013561876421969,-0.04629261867455754,0.5622014045249043,0.4689149221493873,0.003917110263812061,0.6347687318151272
1000,illiteracy_10plus,W,36,ok,0.15600312543290407,0.363579711430126,-0.18185305475768795,0.4609157328153612,0.09718110519428695,0.5728590193481335,0.7124190884553676
1000,sewer_septic,hypertension,36,ok,0.250218452444721,0.14105971818113938,-0.08533206825761434,0.5347912955077221,0.3127413127413128,0.06329472276439664,0.6347687318151272
1000,sewer_septic,hemorrhage,36,ok,-0.16812518363116852,0.32701178696245176,-0.4706637477042971,0.16978886455524908,-0.08931788931788934,0.6044362243164668,0.7124190884553676
1000,sewer_septic,W,36,ok,-0.0040603358642576776,0.9812496053825467,-0.3321529932144188,0.3249088192353559,0.2442728442728443,0.15106865761000113,0.9812496053825467
