icd10,description,waterstone_groups,waterstone_source,mantel_groups,mantel_source,who_groups,who_source,note
O88,Obstetric embolism,,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
O88.0,Obstetric air embolism,,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O88.1,Amniotic fluid embolism,,,M3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O88.2,Obstetric blood-clot embolism,,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O88.3,Obstetric pyaemic and septic embolism,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89,Complications of anaesthesia during the puerperium,,,,,O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
O89.0,Pulmonary complications of anaesthesia during the puerperium,,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89.1,Cardiac complications of anaesthesia during the puerperium,,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89.2,Central nervous system complications of anaesthesia during the puerperium,,,,,O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89.3,Toxic reaction to local anaesthesia during the puerperium,,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89.5,Other complications of spinal and epidural anaesthesia during the puerperium,,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89.6,Failed or difficult intubation during the puerperium,,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89.8,Other complications of anaesthesia during the puerperium,,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O89.9,"Complication of anaesthesia during the puerperium, unspecified",,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
