territory,region_code,region,year,n_months,months,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,W_per_1000,W_pn_per_1000,W_any_per_1000,W_survivor_per_1000,W_standardized,M_per_1000,M_pn_per_1000,M_any_per_1000,M_survivor_per_1000,M_standardized,OMS_per_1000,OMS_pn_per_1000,OMS_any_per_1000,OMS_survivor_per_1000,OMS_standardized,pn_percent
0,0.0,Brasil,2002,12,"1,2,3,4,5,6,7,8,9,10,11,12",2764196.0,778.0,86328.0,4471.0,2764196.0,79432.0,82342.0,953.0,1066.0,79432.0,31688.0,34707.0,305.0,173.0,31688.0,58222.0,62303.0,706.0,641.0,58222.0,85518.0,28.73602306059339,11.039292002594754,29.788770405571817,28.74411326842338,29.6633495812271,11.463731226005681,3.533036789917524,12.55591137531492,11.466958672195085,11.611153363991889,21.062905814204203,8.178111389120563,22.539284479103507,21.068835767878763,21.55157140612333,3.123078102999932
0,0.0,Brasil,2003,12,"1,2,3,4,5,6,7,8,9,10,11,12",2685366.0,712.0,285818.0,5395.0,2685366.0,85992.0,88959.0,3500.0,1477.0,85992.0,29278.0,31894.0,526.0,183.0,29278.0,56167.0,59769.0,1570.0,699.0,56167.0,89280.0,32.02245057098362,12.245554863584518,33.12732789496851,32.03094327984165,32.990112770338044,10.902796862699535,1.840331959498702,11.876965746941012,10.905688405284256,11.030413289070585,20.91595707996601,5.493006038807913,22.25730123938413,20.921504223635523,21.363102678672398,10.643539837772579
0,0.0,Brasil,2004,12,"1,2,3,4,5,6,7,8,9,10,11,12",2683932.0,709.0,396076.0,6170.0,2683932.0,90432.0,93504.0,4971.0,1628.0,90432.0,27912.0,30336.0,566.0,190.0,27912.0,58084.0,61523.0,2079.0,759.0,58084.0,92629.0,33.693849173526004,12.550621597875155,34.8384385297392,33.702752249813,34.623186136050066,10.39966735371835,1.4290186731839345,11.302819892605326,10.402415304281455,10.496081956085789,21.641382866630003,5.248992617578445,22.92271190179185,21.647101265902982,22.042697587726714,14.757303836311799
0,0.0,Brasil,2005,12,"1,2,3,4,5,6,7,8,9,10,11,12",2677842.0,759.0,450510.0,5946.0,2677842.0,89408.0,92581.0,5676.0,1482.0,89408.0,26589.0,28985.0,505.0,206.0,26589.0,57162.0,60780.0,1960.0,752.0,57162.0,92131.0,33.38807890831498,12.599054405007658,34.572988249493434,33.397545014480315,34.314000089094215,9.929263937155365,1.1209518101706955,10.824014262230557,9.932079057690778,10.004823397490853,21.34629302251589,4.350624847395174,22.697380950780516,21.352345071109113,21.71679029367994,16.823621408581985
0,0.0,Brasil,2006,12,"1,2,3,4,5,6,7,8,9,10,11,12",2564376.0,689.0,508948.0,6000.0,2564376.0,85502.0,88829.0,6153.0,1607.0,85502.0,23383.0,25797.0,587.0,191.0,23383.0,53804.0,57401.0,2287.0,771.0,53804.0,87595.0,33.342224385191564,12.089643735705808,34.63961603134642,33.35118522658967,34.17296420098258,9.118397614078434,1.1533594787679684,10.05975722748926,9.120848215870346,9.205265812937418,20.98132255176308,4.4935828414690695,22.384002969923287,20.986961356827102,21.348256185390927,19.84685553132614
0,0.0,Brasil,2007,11,"1,2,3,4,5,6,7,8,9,11,12",2322947.0,510.0,522663.0,5223.0,2322947.0,75922.0,79236.0,6057.0,1490.0,75922.0,19748.0,22099.0,538.0,191.0,19748.0,46642.0,50035.0,1954.0,691.0,46642.0,78135.0,32.68348352330036,11.588729257666985,34.11011960238439,32.69066071544675,33.415572083672515,8.501270153817543,1.0293439558568331,9.513346623922112,8.50313700651514,8.544512626180126,20.078805069594786,3.7385466352123644,21.5394496731953,20.08321431324079,20.37277475790646,22.49999677134261
0,0.0,Brasil,2008,12,"1,2,3,4,5,6,7,8,9,10,11,12",2371800.0,1366.0,611712.0,5190.0,2371800.0,86495.0,89499.0,11057.0,1790.0,86495.0,21835.0,22275.0,582.0,173.0,21835.0,61705.0,62858.0,4796.0,856.0,61705.0,94084.0,36.4680833122523,18.075499581502406,37.73463192512016,36.4890986207589,37.12270048248306,9.206088203052534,0.9514281230382925,9.391601315456615,9.211393356659583,9.283251361551262,26.016105911122356,7.840290855827579,26.50223458976305,26.031098102710306,26.41265105060358,25.791044776119403
0,0.0,Brasil,2009,12,"1,2,3,4,5,6,7,8,9,10,11,12",2426541.0,1483.0,611172.0,6115.0,2426541.0,85172.0,88004.0,10810.0,1757.0,85172.0,21078.0,21554.0,476.0,203.0,21078.0,56808.0,58091.0,4050.0,855.0,56808.0,91022.0,35.10016933569225,17.687328607985968,36.267262741490875,35.121634204212846,35.65798752334616,8.68643884442917,0.778831490971445,8.882602849076113,8.691750877710966,8.746512993365616,23.411102470553764,6.626612475702421,23.9398386427429,23.425419103378147,23.706219423809017,25.18696366556345
0,0.0,Brasil,2010,12,"1,2,3,4,5,6,7,8,9,10,11,12",2399935.0,872.0,644076.0,7009.0,2399935.0,85650.0,88920.0,12280.0,2326.0,85650.0,19898.0,20360.0,531.0,231.0,19898.0,54792.0,56168.0,4997.0,956.0,54792.0,90136.0,35.68846656263607,19.06607294791298,37.051003464677166,35.70143843658962,36.13904418220196,8.29105788281766,0.824436867698843,8.48356309650053,8.294071477072507,8.33901031267405,22.830618329246416,7.758401182469149,23.403967190778083,22.838916693725842,23.05729401607552,26.83722684156029
0,0.0,Brasil,2011,12,"1,2,3,4,5,6,7,8,9,10,11,12",2383077.0,605.0,632623.0,8107.0,2383077.0,83986.0,87536.0,10484.0,2689.0,83986.0,19376.0,19892.0,588.0,294.0,19376.0,52365.0,53997.0,3969.0,1116.0,52365.0,87859.0,35.24267155446509,16.572271321150197,36.73234226170619,35.251621005409504,35.598251367829775,8.13066468267706,0.9294635193472257,8.347191467166189,8.132729366808928,8.157490143649635,21.97369199568457,6.273878755593774,22.658520895464143,21.97927194947097,22.148966631601304,26.546477516253148
0,0.0,Brasil,2012,12,"1,2,3,4,5,6,7,8,9,10,11,12",2325496.0,633.0,650677.0,8585.0,2325496.0,81589.0,85263.0,11218.0,3090.0,81589.0,18660.0,19189.0,542.0,309.0,18660.0,48647.0,50202.0,4067.0,1309.0,48647.0,85198.0,35.08455830498096,17.240504889522757,36.6644363181016,35.094110921804855,35.353658299737454,8.024094644755355,0.8329785746230465,8.251572997760478,8.026279397968827,8.02909660696768,20.91897814487748,6.2504130313504245,21.587652698607094,20.92467384099622,21.026201937938456,27.980138430683176
0,0.0,Brasil,2013,12,"1,2,3,4,5,6,7,8,9,10,11,12",2344605.0,645.0,522530.0,9162.0,2344605.0,82890.0,86845.0,9248.0,3249.0,82890.0,19576.0,20197.0,356.0,313.0,19576.0,49855.0,51637.0,3491.0,1484.0,49855.0,87286.0,35.353503042090246,17.69850534897518,37.04035434540146,35.36323145446168,35.569622812847086,8.349380812546249,0.681300595181138,8.614244190386014,8.351678356285943,8.356016689448682,21.263709665380734,6.680956117352114,22.023752401790492,21.26956091400877,21.35643033263858,22.286483224253125
0,0.0,Brasil,2014,12,"1,2,3,4,5,6,7,8,9,10,11,12",2381213.0,612.0,413161.0,9429.0,2381213.0,83096.0,87300.0,6186.0,3235.0,83096.0,20926.0,21531.0,177.0,368.0,20926.0,49728.0,51455.0,2350.0,1478.0,49728.0,88661.0,34.89650022908492,14.972371545232972,36.66198697890529,34.905471349461756,35.020808796374226,8.787958070109646,0.4284044234571995,9.04203025936781,8.790217260263269,8.788394666092946,20.88347409492557,5.687855339685982,21.608734707898872,20.888842775416794,20.929077088748542,17.350862774560696
0,0.0,Brasil,2015,12,"1,2,3,4,5,6,7,8,9,10,11,12",2452136.0,854.0,401469.0,9965.0,2452136.0,84176.0,89390.0,6181.0,3740.0,84176.0,21720.0,22671.0,245.0,370.0,21720.0,49365.0,51876.0,2231.0,1490.0,49365.0,90184.0,34.32762293771634,15.395958342985386,36.45393240831667,34.33958230835946,34.3470451206383,8.857583755550262,0.6102588244671444,9.24540890064825,8.860669641436603,8.851519262276534,20.13142827314635,5.55709158116816,21.155433466985517,20.138441843900456,20.134094538183465,16.37221589667131
