region_code,region,admissions,i500_admissions,i500_deaths,additional_surviving_admissions,mantel_158,mantel_159,mantel_158_per_1000,mantel_159_per_1000,difference_per_1000,relative_increase_percent
0,Brazil,58376917,347,8,339,542154,542493,9.287129705736259,9.29293679554883,0.005807089812570952,0.06252835910091967
1,North,6805084,0,0,0,80884,80884,11.885819484373743,11.885819484373743,0.0,0.0
2,Northeast,18872990,24,0,24,174610,174634,9.251846156862268,9.253117815460083,0.0012716585978162444,0.013744917244144093
3,Southeast,20851674,294,7,287,180693,180980,8.665635190728572,8.6793990736667,0.013763882938127654,0.15883293763455142
4,South,7356343,7,0,7,59805,59812,8.12971880185576,8.130670361618538,0.0009515597627788698,0.011704706964300643
5,Central-West,4490826,22,1,21,46162,46183,10.279178039852802,10.283854239732289,0.004676199879487649,0.045491963086521384
