region_code,region,n_months,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,W_per_1000,W_pn_per_1000,W_any_per_1000,W_survivor_per_1000,W_standardized,M_per_1000,M_pn_per_1000,M_any_per_1000,M_survivor_per_1000,M_standardized,OMS_per_1000,OMS_pn_per_1000,OMS_any_per_1000,OMS_survivor_per_1000,OMS_standardized,pn_percent
0,Brasil,287,58376917.0,20566.0,9613424.0,250999.0,58376917.0,2154047.0,2294758.0,167667.0,87972.0,2154047.0,542154.0,577016.0,9520.0,9414.0,542154.0,1231310.0,1308792.0,58789.0,35083.0,1231310.0,2271149.0,36.898951001472035,17.44092427422321,39.30933865520853,36.91195496442195,36.898951001472035,9.287129705736259,0.9902819224451143,9.884317803216637,9.290402684705217,9.287129705736259,21.092412262881233,6.115302934729603,22.419683451251803,21.0998456706109,21.092412262881236,16.467851496851058
1,Norte,287,6805084.0,2626.0,832851.0,12878.0,6805084.0,286193.0,288898.0,14057.0,5392.0,286193.0,80884.0,81656.0,836.0,552.0,80884.0,199003.0,200476.0,5424.0,2222.0,199003.0,302604.0,42.05576301482832,16.878169084265974,42.4532599450646,42.07199809245423,43.322733850151245,11.885819484373743,1.0037809884361069,11.999264079620472,11.890407849633176,11.983010155687683,29.243283403996188,6.512569475212253,29.45973921850193,29.254572391332662,29.854910523699562,12.238658626403437
2,Nordeste,287,18872990.0,7830.0,1853159.0,98160.0,18872990.0,765901.0,794619.0,40016.0,41122.0,765901.0,174610.0,185543.0,1590.0,3365.0,174610.0,394172.0,412822.0,10015.0,12656.0,394172.0,804790.0,40.5818579885858,21.593398084028408,42.10350347242276,40.59870152174697,40.851448919185486,9.251846156862268,0.8579943760896933,9.831139633942476,9.255686143133692,9.27402032972736,20.88550886743436,5.40428533115615,21.8736935694874,20.89417741487483,20.962896675978712,9.81910656446064
3,Sudeste,287,20851674.0,6584.0,3986757.0,104341.0,20851674.0,713183.0,814167.0,71310.0,31872.0,713183.0,180693.0,198500.0,4282.0,4197.0,180693.0,405899.0,455614.0,26101.0,14718.0,405899.0,752443.0,34.20267360788395,17.88671845311866,39.045642090894,34.213476650856386,33.76490648187858,8.665635190728572,1.074055930672474,9.519619384036025,8.668372264163887,8.643436221394396,19.466015054714553,6.546925232714209,21.85023610094806,19.472163468711337,19.322928405524507,19.119601620474214
4,Sul,287,7356343.0,1854.0,2176263.0,18678.0,7356343.0,234637.0,238885.0,31520.0,4466.0,234637.0,59805.0,62671.0,2461.0,667.0,59805.0,137598.0,141492.0,14315.0,2824.0,137598.0,249736.0,31.895875437020813,14.483543579061905,32.47333627591862,31.9039160980457,31.365313150918347,8.12971880185576,1.1308375871850047,8.519314556159221,8.131768230260457,8.07746052211631,18.704674319835277,6.577789541061903,19.234013422158267,18.709389598651924,18.491268625172363,29.583490057491883
5,Centro-Oeste,287,4490826.0,1672.0,764394.0,16942.0,4490826.0,154133.0,158189.0,10764.0,5120.0,154133.0,46162.0,48646.0,351.0,633.0,46162.0,94638.0,98388.0,2934.0,2663.0,94638.0,161576.0,34.32174838214618,14.08174318479737,35.22492298744151,34.33453162889934,34.7303759615676,10.279178039852802,0.4591872777651316,10.83230568274077,10.283006553127828,10.356077990040243,21.073628771188197,3.8383346808059717,21.908664463953848,21.081477712727164,21.27105375110269,17.0212339556242
